,Metropolitan Areas,GDP 2017
0,"Abilene, TX","6,749"
1,"Akron, OH","32,386"
2,"Albany, GA","4,664"
3,"Albany, OR","3,630"
4,"Albany-Schenectady-Troy, NY","46,524"
5,"Albuquerque, NM","38,523"
6,"Alexandria, LA","5,129"
7,"Allentown-Bethlehem-Easton, PA-NJ","38,613"
8,"Altoona, PA","4,690"
9,"Amarillo, TX","12,238"
10,"Ames, IA","4,461"
11,"Anchorage, AK","24,682"
12,"Ann Arbor, MI","20,545"
13,"Anniston-Oxford-Jacksonville, AL","3,419"
14,"Appleton, WI","11,412"
15,"Asheville, NC","17,329"
16,"Athens-Clarke County, GA","8,482"
17,"Atlanta-Sandy Springs-Roswell, GA","334,488"
18,"Atlantic City-Hammonton, NJ","11,233"
19,"Auburn-Opelika, AL","4,715"
20,"Augusta-Richmond County, GA-SC","20,911"
21,"Austin-Round Rock, TX","135,072"
22,"Bakersfield, CA","33,594"
23,"Baltimore-Columbia-Towson, MD","165,903"
24,"Bangor, ME","5,252"
25,"Barnstable Town, MA","9,837"
26,"Baton Rouge, LA","45,015"
27,"Battle Creek, MI","5,354"
28,"Bay City, MI","2,851"
29,"Beaumont-Port Arthur, TX","20,143"
30,"Beckley, WV","3,957"
31,"Bellingham, WA","9,276"
32,"Bend-Redmond, OR","8,780"
33,"Billings, MT","8,563"
34,"Binghamton, NY","8,524"
35,"Birmingham-Hoover, AL","55,927"
36,"Bismarck, ND","6,921"
37,"Blacksburg-Christiansburg-Radford, VA","6,134"
38,"Bloomington, IL","10,924"
39,"Bloomington, IN","6,355"
40,"Bloomsburg-Berwick, PA","3,566"
41,"Boise City, ID","29,425"
42,"Boston-Cambridge-Newton, MA-NH","379,499"
43,"Boulder, CO","22,601"
44,"Bowling Green, KY","6,283"
45,"Bremerton-Silverdale, WA","9,867"
46,"Bridgeport-Stamford-Norwalk, CT","82,721"
47,"Brownsville-Harlingen, TX","8,777"
48,"Brunswick, GA","3,422"
49,"Buffalo-Cheektowaga-Niagara Falls, NY","50,980"
50,"Burlington, NC","4,723"
51,"Burlington-South Burlington, VT","12,368"
52,"California-Lexington Park, MD","5,585"
53,"Canton-Massillon, OH","14,901"
54,"Cape Coral-Fort Myers, FL","24,234"
55,"Cape Girardeau, MO-IL","3,736"
56,"Carbondale-Marion, IL","4,584"
57,"Carson City, NV","3,020"
58,"Casper, WY","5,426"
59,"Cedar Rapids, IA","16,448"
60,"Chambersburg-Waynesboro, PA","4,805"
61,"Champaign-Urbana, IL","10,500"
62,"Charleston, WV","11,143"
63,"Charleston-North Charleston, SC","36,074"
64,"Charlotte-Concord-Gastonia, NC-SC","146,630"
65,"Charlottesville, VA","11,510"
66,"Chattanooga, TN-GA","23,425"
67,"Cheyenne, WY","4,820"
68,"Chicago-Naperville-Elgin, IL-IN-WI","583,137"
69,"Chico, CA","6,996"
70,"Cincinnati, OH-KY-IN","119,223"
71,"Clarksville, TN-KY","9,623"
72,"Cleveland, TN","3,752"
73,"Cleveland-Elyria, OH","120,380"
74,"Coeur d'Alene, ID","5,128"
75,"College Station-Bryan, TX","8,972"
76,"Colorado Springs, CO","28,886"
77,"Columbia, MO","7,963"
78,"Columbia, SC","35,421"
79,"Columbus, GA-AL","11,596"
80,"Columbus, IN","5,236"
81,"Columbus, OH","117,250"
82,"Corpus Christi, TX","18,738"
83,"Corvallis, OR","4,375"
84,"Crestview-Fort Walton Beach-Destin, FL","12,525"
85,"Cumberland, MD-WV","2,824"
86,"Dallas-Fort Worth-Arlington, TX","479,678"
87,"Dalton, GA","5,870"
88,"Danville, IL","2,501"
89,"Daphne-Fairhope-Foley, AL","6,302"
90,"Davenport-Moline-Rock Island, IA-IL","17,440"
91,"Dayton, OH","35,397"
92,"Decatur, AL","4,654"
93,"Decatur, IL","5,315"
94,"Deltona-Daytona Beach-Ormond Beach, FL","14,888"
95,"Denver-Aurora-Lakewood, CO","185,942"
96,"Des Moines-West Des Moines, IA","49,031"
97,"Detroit-Warren-Dearborn, MI","228,069"
98,"Dothan, AL","4,635"
99,"Dover, DE","6,264"
100,"Dubuque, IA","5,304"
101,"Duluth, MN-WI","11,564"
102,"Durham-Chapel Hill, NC","37,278"
103,"East Stroudsburg, PA","5,311"
104,"Eau Claire, WI","7,486"
105,"El Centro, CA","5,137"
106,"Elizabethtown-Fort Knox, KY","5,444"
107,"Elkhart-Goshen, IN","15,200"
108,"Elmira, NY","2,913"
109,"El Paso, TX","25,332"
110,"Enid, OK","2,986"
111,"Erie, PA","9,678"
112,"Eugene, OR","13,643"
113,"Evansville, IN-KY","15,326"
114,"Fairbanks, AK","4,736"
115,"Fargo, ND-MN","14,015"
116,"Farmington, NM","6,134"
117,"Fayetteville, NC","14,992"
118,"Fayetteville-Springdale-Rogers, AR-MO","25,341"
119,"Flagstaff, AZ","5,017"
120,"Flint, MI","11,955"
121,"Florence, SC","7,432"
122,"Florence-Muscle Shoals, AL","4,346"
123,"Fond du Lac, WI","4,388"
124,"Fort Collins, CO","15,073"
125,"Fort Smith, AR-OK","8,914"
126,"Fort Wayne, IN","19,786"
127,"Fresno, CA","35,866"
128,"Gadsden, AL","2,606"
129,"Gainesville, FL","11,112"
130,"Gainesville, GA","8,253"
131,"Gettysburg, PA","2,999"
132,"Glens Falls, NY","4,437"
