,Metropolitan Areas,Unemployment Rate Jul 2017
0,"Burlington-South Burlington, VT",1.8
1,"Portland-South Portland, ME",1.9
2,"Portsmouth, NH-ME",2.1
3,"Sioux Falls, SD",2.1
4,"Ames, IA",2.2
5,"Bismarck, ND",2.2
6,"Fargo, ND-MN",2.2
7,"Idaho Falls, ID",2.2
8,"Midland, TX",2.2
9,"Dover-Durham, NH-ME",2.3
10,"Fort Collins, CO",2.3
11,"Iowa City, IA",2.3
12,"Boulder, CO",2.4
13,"Dubuque, IA",2.4
14,"Manchester, NH",2.4
15,"Bangor, ME",2.5
16,"Daphne-Fairhope-Foley, AL",2.5
17,"Missoula, MT",2.5
18,"Urban Honolulu, HI",2.5
19,"Columbus, IN",2.6
20,"Des Moines-West Des Moines, IA",2.6
21,"Greeley, CO",2.6
22,"Huntsville, AL",2.6
23,"Kahului-Wailuku-Lahaina, HI",2.6
24,"Lewiston-Auburn, ME",2.6
25,"Logan, UT-ID",2.6
26,"Madison, WI",2.6
27,"Rapid City, SD",2.6
28,"Staunton-Waynesboro, VA",2.6
29,"Barnstable Town, MA",2.7
30,"Birmingham-Hoover, AL",2.7
31,"Boston-Cambridge-Nashua, MA-NH",2.7
32,"Charlottesville, VA",2.7
33,"Decatur, AL",2.7
34,"Denver-Aurora-Lakewood, CO",2.7
35,"Sioux City, IA-NE-SD",2.7
36,"Twin Falls, ID",2.7
37,"Winchester, VA-WV",2.7
38,"Amarillo, TX",2.8
39,"Auburn-Opelika, AL",2.8
40,"Billings, MT",2.8
41,"Boise City, ID",2.8
42,"Charleston-North Charleston, SC",2.8
43,"Crestview-Fort Walton Beach-Destin, FL",2.8
44,"Fayetteville-Springdale-Rogers, AR-MO",2.8
45,"Great Falls, MT",2.8
46,"Odessa, TX",2.8
47,"Rochester, MN",2.8
48,"San Jose-Sunnyvale-Santa Clara, CA",2.8
49,"Sheboygan, WI",2.8
50,"Austin-Round Rock, TX",2.9
51,"Cedar Rapids, IA",2.9
52,"Columbia, MO",2.9
53,"Gainesville, GA",2.9
54,"Grand Forks, ND-MN",2.9
55,"Greenville-Anderson-Mauldin, SC",2.9
