"Over-the-year change in total nonfarm employment for metropolitan areas, not seasonally adjusted",,,,,,
"To sort this table by a different column, click on the column header.",,,,,,
,,,,,,
Display 102550100All records,,,,,,
Text search table: ,,,,,,
Metropolitan area,State,Jul. 2018 ,Jul. 2019 (p),Over-the-year,Over-the-year,Significant?
,,(thousands),(thousands),net change (thousands),percent change (%),(90% confidence level)
Footnotes: ,,,,,,
(1) Area boundary does not reflect the official OMB delineation.,,,,,,
,,,,,,
"(2) For operational reasons, these interstate areas are listed under the state that accounts for the larger share of the population, which is different from the state that contains the first principal city.",,,,,,
,,,,,,
(p) Preliminary,,,,,,
,,,,,,
"NOTE: Data are counts of jobs by place of work. Data have been revised to reflect 2018 benchmark levels. Estimates subsequent to the current benchmark are preliminary and will be revised when new information becomes available. Area delineations are based on Office of Management and Budget Bulletin No. 18-03, dated April 10, 2018, and are available on the BLS website at https://www.bls.gov/lau/lausmsa.htm. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. Some metropolitan areas lie in two or more states. They are listed under the state containing the first principal city, unless otherwise footnoted. Estimates for the latest month are subject to revision the following month.",,,,,,
,,,,,,
"NOTE: Changes in metropolitan area and metropolitan division nonfarm payroll employment are identified with a “Yes” in the “Significant?” column of this table only if they have been determined to be statistically significant, i.e. different from zero, at the 90-percent confidence level. An explanation of how to construct a 90-percent confidence interval, as well as the underlying standard error measures (Table 2) for over-the-year changes in metropolitan area and metropolitan division payroll employment data at the total nonfarm level can be found in the CES State and Area reliability page available at https://www.bls.gov/sae/790stderr.htm.",,,,,,
"Abilene, TX ",Texas ,69.5 ,69.9 ,0.4 ,0.6 ,No 
"Akron, OH ",Ohio ,338.3 ,340.4 ,2.1 ,0.6 ,No 
"Albany, GA ",Georgia ,61.5 ,62.3 ,0.8 ,1.3 ,No 
"Albany, OR ",Oregon ,45.4 ,45.9 ,0.5 ,1.1 ,No 
"Albany-Schenectady-Troy, NY ",New York ,469.7 ,469.4 ,-0.3 ,-0.1 ,No 
"Albuquerque, NM ",New Mexico ,391.7 ,396.7 ,5.0 ,1.3 ,No 
"Alexandria, LA ",Louisiana ,61.1 ,61.1 ,0.0 ,0.0 ,No 
"Allentown-Bethlehem-Easton, PA-NJ ",Pennsylvania ,371.5 ,376.9 ,5.4 ,1.5 ,No 
"Altoona, PA ",Pennsylvania ,61.3 ,62.6 ,1.3 ,2.1 ,No 
"Amarillo, TX ",Texas ,118.8 ,120.1 ,1.3 ,1.1 ,No 
"Ames, IA ",Iowa ,49.0 ,50.0 ,1.0 ,2.0 ,No 
"Anchorage, AK ",Alaska ,178.6 ,181.7 ,3.1 ,1.7 ,No 
"Ann Arbor, MI ",Michigan ,217.4 ,219.3 ,1.9 ,0.9 ,No 
"Anniston-Oxford-Jacksonville, AL ",Alabama ,46.8 ,47.2 ,0.4 ,0.9 ,No 
"Appleton, WI ",Wisconsin ,127.2 ,128.0 ,0.8 ,0.6 ,No 
"Asheville, NC ",North Carolina ,192.9 ,201.2 ,8.3 ,4.3 ,Yes 
"Athens-Clarke County, GA ",Georgia ,97.3 ,98.6 ,1.3 ,1.3 ,No 
"Atlanta-Sandy Springs-Roswell, GA ",Georgia ,"2,781.6 ","2,839.6 ",58.0 ,2.1 ,Yes 
"Atlantic City-Hammonton, NJ ",New Jersey ,137.4 ,139.3 ,1.9 ,1.4 ,No 
"Auburn-Opelika, AL ",Alabama ,64.4 ,65.0 ,0.6 ,0.9 ,No 
"Augusta-Richmond County, GA-SC ",Georgia ,237.8 ,242.2 ,4.4 ,1.9 ,No 
"Austin-Round Rock, TX ",Texas ,"1,069.9 ","1,094.3 ",24.4 ,2.3 ,Yes 
"Bakersfield, CA ",California ,261.1 ,268.7 ,7.6 ,2.9 ,No 
"Baltimore-Columbia-Towson, MD ",Maryland ,"1,413.6 ","1,429.2 ",15.6 ,1.1 ,No 
"Bangor, ME NECTA ",Maine ,66.8 ,67.6 ,0.8 ,1.2 ,No 
"Barnstable Town, MA NECTA ",Massachusetts ,122.6 ,123.1 ,0.5 ,0.4 ,No 
"Baton Rouge, LA ",Louisiana ,406.2 ,405.1 ,-1.1 ,-0.3 ,No 
"Battle Creek, MI ",Michigan ,57.5 ,57.5 ,0.0 ,0.0 ,No 
"Bay City, MI ",Michigan ,35.5 ,35.2 ,-0.3 ,-0.8 ,No 
"Beaumont-Port Arthur, TX ",Texas ,163.7 ,166.3 ,2.6 ,1.6 ,No 
"Beckley, WV ",West Virginia ,44.3 ,44.6 ,0.3 ,0.7 ,No 
"Bellingham, WA ",Washington ,93.8 ,96.2 ,2.4 ,2.6 ,No 
"Bend-Redmond, OR ",Oregon ,85.7 ,87.9 ,2.2 ,2.6 ,No 
"Billings, MT ",Montana ,84.8 ,85.8 ,1.0 ,1.2 ,No 
"Binghamton, NY ",New York ,103.0 ,103.3 ,0.3 ,0.3 ,No 
"Birmingham-Hoover, AL ",Alabama ,538.2 ,548.7 ,10.5 ,2.0 ,Yes 
"Bismarck, ND ",North Dakota ,72.6 ,72.7 ,0.1 ,0.1 ,No 
"Blacksburg-Christiansburg-Radford, VA ",Virginia ,75.0 ,75.0 ,0.0 ,0.0 ,No 
"Bloomington, IL ",Illinois ,89.7 ,89.9 ,0.2 ,0.2 ,No 
"Bloomington, IN ",Indiana ,71.4 ,71.8 ,0.4 ,0.6 ,No 
"Bloomsburg-Berwick, PA ",Pennsylvania ,42.1 ,42.6 ,0.5 ,1.2 ,No 
"Boise City, ID ",Idaho ,333.4 ,345.3 ,11.9 ,3.6 ,Yes 
"Boston-Cambridge-Nashua, MA-NH NECTA ",Massachusetts ,"2,782.1 ","2,818.8 ",36.7 ,1.3 ,Yes 
"Boulder, CO ",Colorado ,191.8 ,197.7 ,5.9 ,3.1 ,No 
"Bowling Green, KY ",Kentucky ,74.0 ,75.4 ,1.4 ,1.9 ,No 
"Bremerton-Silverdale, WA ",Washington ,94.2 ,96.0 ,1.8 ,1.9 ,No 
"Bridgeport-Stamford-Norwalk, CT NECTA ",Connecticut ,412.2 ,417.2 ,5.0 ,1.2 ,No 
"Brownsville-Harlingen, TX ",Texas ,141.8 ,142.7 ,0.9 ,0.6 ,No 
"Brunswick, GA ",Georgia ,45.2 ,46.5 ,1.3 ,2.9 ,No 
"Buffalo-Cheektowaga-Niagara Falls, NY ",New York ,564.3 ,569.6 ,5.3 ,0.9 ,No 
"Burlington, NC ",North Carolina ,61.3 ,61.9 ,0.6 ,1.0 ,No 
"Burlington-South Burlington, VT NECTA ",Vermont ,125.4 ,128.1 ,2.7 ,2.2 ,No 
"California-Lexington Park, MD ",Maryland ,46.1 ,46.2 ,0.1 ,0.2 ,No 
"Canton-Massillon, OH ",Ohio ,174.5 ,176.0 ,1.5 ,0.9 ,No 
"Cape Coral-Fort Myers, FL ",Florida ,263.5 ,274.2 ,10.7 ,4.1 ,Yes 
"Cape Girardeau, MO-IL ",Missouri ,43.3 ,43.7 ,0.4 ,0.9 ,No 
"Carbondale-Marion, IL ",Illinois ,56.8 ,58.1 ,1.3 ,2.3 ,No 
"Carson City, NV ",Nevada ,30.0 ,31.3 ,1.3 ,4.3 ,No 
"Casper, WY ",Wyoming ,39.3 ,40.1 ,0.8 ,2.0 ,No 
"Cedar Rapids, IA ",Iowa ,144.3 ,143.7 ,-0.6 ,-0.4 ,No 
"Chambersburg-Waynesboro, PA ",Pennsylvania ,60.8 ,61.9 ,1.1 ,1.8 ,No 
"Champaign-Urbana, IL ",Illinois ,106.5 ,108.2 ,1.7 ,1.6 ,No 
"Charleston, WV ",West Virginia ,110.6 ,109.6 ,-1.0 ,-0.9 ,No 
"Charleston-North Charleston, SC ",South Carolina ,368.4 ,375.9 ,7.5 ,2.0 ,No 
"Charlotte-Concord-Gastonia, NC-SC ",North Carolina ,"1,196.8 ","1,228.4 ",31.6 ,2.6 ,Yes 
"Charlottesville, VA ",Virginia ,116.4 ,118.7 ,2.3 ,2.0 ,No 
"Chattanooga, TN-GA ",Tennessee ,259.8 ,266.1 ,6.3 ,2.4 ,No 
"Cheyenne, WY ",Wyoming ,47.5 ,47.8 ,0.3 ,0.6 ,No 
"Chicago-Naperville-Elgin, IL-IN-WI ",Illinois ,"4,781.5 ","4,848.2 ",66.7 ,1.4 ,Yes 
"Chico, CA ",California ,82.2 ,83.4 ,1.2 ,1.5 ,No 
"Cincinnati, OH-KY-IN ",Ohio ,"1,110.0 ","1,136.3 ",26.3 ,2.4 ,Yes 
"Clarksville, TN-KY ",Tennessee ,90.6 ,93.1 ,2.5 ,2.8 ,No 
"Cleveland, TN ",Tennessee ,45.3 ,45.7 ,0.4 ,0.9 ,No 
"Cleveland-Elyria, OH ",Ohio ,"1,077.5 ","1,089.5 ",12.0 ,1.1 ,No 
"Coeur d'Alene, ID ",Idaho ,67.9 ,68.7 ,0.8 ,1.2 ,No 
"College Station-Bryan, TX ",Texas ,116.5 ,119.0 ,2.5 ,2.1 ,No 
"Colorado Springs, CO ",Colorado ,292.8 ,301.2 ,8.4 ,2.9 ,No 
"Columbia, MO ",Missouri ,96.4 ,96.8 ,0.4 ,0.4 ,No 
"Columbia, SC ",South Carolina ,402.3 ,402.1 ,-0.2 ,0.0 ,No 
"Columbus, GA-AL ",Georgia ,122.0 ,121.6 ,-0.4 ,-0.3 ,No 
"Columbus, IN ",Indiana ,52.9 ,53.2 ,0.3 ,0.6 ,No 
"Columbus, OH ",Ohio ,"1,101.9 ","1,112.8 ",10.9 ,1.0 ,No 
"Corpus Christi, TX ",Texas ,192.7 ,193.0 ,0.3 ,0.2 ,No 
"Corvallis, OR ",Oregon ,40.6 ,41.4 ,0.8 ,2.0 ,No 
