,Metropolitan Areas,Pop Est Jul 2018
0,"Abilene, TX",171451
1,"Akron, OH",704845
2,"Albany, GA",153009
3,"Albany, OR",127335
4,"Albany-Schenectady-Troy, NY",883169
5,"Albuquerque, NM",915927
6,"Alexandria, LA",153044
7,"Allentown-Bethlehem-Easton, PA-NJ",842913
8,"Altoona, PA",122492
9,"Amarillo, TX",265947
10,"Ames, IA",98105
11,"Anchorage, AK",399148
12,"Ann Arbor, MI",370963
13,"Anniston-Oxford-Jacksonville, AL",114277
14,"Appleton, WI",237524
15,"Asheville, NC",459585
16,"Athens-Clarke County, GA",211306
17,"Atlanta-Sandy Springs-Roswell, GA",5949951
18,"Atlantic City-Hammonton, NJ",265429
19,"Auburn-Opelika, AL",163941
20,"Augusta-Richmond County, GA-SC",604167
21,"Austin-Round Rock, TX",2168316
22,"Bakersfield, CA",896764
23,"Baltimore-Columbia-Towson, MD",2802789
24,"Bangor, ME",151096
25,"Barnstable Town, MA",213413
26,"Baton Rouge, LA",831310
27,"Battle Creek, MI",134487
28,"Bay City, MI",103923
29,"Beaumont-Port Arthur, TX",409526
30,"Beckley, WV",117272
31,"Bellingham, WA",225685
32,"Bend-Redmond, OR",191996
33,"Billings, MT",171677
34,"Binghamton, NY",240219
35,"Birmingham-Hoover, AL",1151801
36,"Bismarck, ND",132678
37,"Blacksburg-Christiansburg-Radford, VA",184029
38,"Bloomington, IL",188597
39,"Bloomington, IN",167762
40,"Bloomsburg-Berwick, PA",83696
41,"Boise City, ID",730426
42,"Boston-Cambridge-Newton, MA-NH",4875390
43,"Boston, MA Metro Division",2030772
44,"Cambridge-Newton-Framingham, MA Metro Division",2405352
45,"Rockingham County-Strafford County, NH Metro Division",439266
46,"Boulder, CO",326078
47,"Bowling Green, KY",177432
48,"Bremerton-Silverdale, WA",269805
49,"Bridgeport-Stamford-Norwalk, CT",943823
50,"Brownsville-Harlingen, TX",423908
51,"Brunswick, GA",118456
52,"Buffalo-Cheektowaga-Niagara Falls, NY",1130152
53,"Burlington, NC",166436
54,"Burlington-South Burlington, VT",221083
55,"California-Lexington Park, MD",112664
56,"Canton-Massillon, OH",398655
57,"Cape Coral-Fort Myers, FL",754610
58,"Cape Girardeau, MO-IL",96982
59,"Carbondale-Marion, IL",124475
60,"Carson City, NV",55414
61,"Casper, WY",79115
62,"Cedar Rapids, IA",272295
63,"Chambersburg-Waynesboro, PA",154835
64,"Champaign-Urbana, IL",239643
65,"Charleston, WV",211037
66,"Charleston-North Charleston, SC",787643
67,"Charlotte-Concord-Gastonia, NC-SC",2569213
68,"Charlottesville, VA",235232
69,"Chattanooga, TN-GA",560793
70,"Cheyenne, WY",98976
71,"Chicago-Naperville-Elgin, IL-IN-WI",9498716
72,"Chicago-Naperville-Arlington Heights, IL Metro Division",7288849
73,"Elgin, IL Metro Division",638359
74,"Gary, IN Metro Division",701386
75,"Lake County-Kenosha County, IL-WI Metro Division",870122
76,"Chico, CA",231256
77,"Cincinnati, OH-KY-IN",2190209
78,"Clarksville, TN-KY",292264
79,"Cleveland, TN",123625
80,"Cleveland-Elyria, OH",2057009
81,"Coeur d'Alene, ID",161505
82,"College Station-Bryan, TX",262431
83,"Colorado Springs, CO",738939
84,"Columbia, MO",180005
85,"Columbia, SC",832666
86,"Columbus, GA-AL",305451
87,"Columbus, IN",82753
88,"Columbus, OH",2106541
89,"Corpus Christi, TX",452950
90,"Corvallis, OR",92101
91,"Crestview-Fort Walton Beach-Destin, FL",278644
92,"Cumberland, MD-WV",97915
93,"Dallas-Fort Worth-Arlington, TX",7539711
94,"Dallas-Plano-Irving, TX Metro Division",5007190
95,"Fort Worth-Arlington, TX Metro Division",2532521
96,"Dalton, GA",143983
97,"Danville, IL",76806
98,"Daphne-Fairhope-Foley, AL",218022
99,"Davenport-Moline-Rock Island, IA-IL",381451
100,"Dayton, OH",806548
101,"Decatur, AL",152046
102,"Decatur, IL",104712
103,"Deltona-Daytona Beach-Ormond Beach, FL",659605
104,"Denver-Aurora-Lakewood, CO",2932415
105,"Des Moines-West Des Moines, IA",655409
106,"Detroit-Warren-Dearborn, MI",4326442
107,"Detroit-Dearborn-Livonia, MI Metro Division",1753893
108,"Warren-Troy-Farmington Hills, MI Metro Division",2572549
109,"Dothan, AL",148245
110,"Dover, DE",178550
111,"Dubuque, IA",96854
112,"Duluth, MN-WI",278799
113,"Durham-Chapel Hill, NC",575412
114,"East Stroudsburg, PA",169507
115,"Eau Claire, WI",168669
116,"El Centro, CA",181827
117,"Elizabethtown-Fort Knox, KY",153378
118,"Elkhart-Goshen, IN",205560
119,"Elmira, NY",84254
120,"El Paso, TX",845553
121,"Enid, OK",60913
122,"Erie, PA",272061
123,"Eugene, OR",379611
124,"Evansville, IN-KY",314672
125,"Fairbanks, AK",98971
126,"Fargo, ND-MN",245471
127,"Farmington, NM",125043
128,"Fayetteville, NC",387094
129,"Fayetteville-Springdale-Rogers, AR-MO",549128
130,"Flagstaff, AZ",142854
131,"Flint, MI",406892
132,"Florence, SC",204961
133,"Florence-Muscle Shoals, AL",147149
134,"Fond du Lac, WI",103066
135,"Fort Collins, CO",350518
136,"Fort Smith, AR-OK",282318
137,"Fort Wayne, IN",437631
138,"Fresno, CA",994400
139,"Gadsden, AL",102501
140,"Gainesville, FL",288212
141,"Gainesville, GA",202148
142,"Gettysburg, PA",102811
143,"Glens Falls, NY",125462
144,"Goldsboro, NC",123248
