Internet Connection Data for Cities,,,,
Internet access in 2013.,,,,
1,"Centennial, Colorado",96%,"1,530",+/- 667
2,"Cary, North Carolina",95.50%,"2,568",+/- 670
3,"Irvine, California",95.30%,"3,944","+/- 1,589"
4,"Frisco, Texas",94.70%,"2,416",+/- 885
5,"Bellevue, Washington",93.60%,"3,363",+/- 910
6,"Gilbert, Arizona",93.40%,"4,733","+/- 1,077"
7,"Boulder, Colorado",92.70%,"3,080",+/- 978
8,"Pearland, Texas",92.60%,"2,595","+/- 1,065"
9,"Plano, Texas",92.30%,"8,184","+/- 1,628"
10,"Scottsdale, Arizona",92.10%,"7,900","+/- 1,534"
11,"College Station, Texas",92%,"2,785","+/- 1,006"
12,"Coral Springs, Florida",92%,"3,231","+/- 1,112"
13,"Surprise, Arizona",92%,"3,835",+/- 816
14,"Sunnyvale, California",92%,"4,507","+/- 1,247"
15,"Lewisville, Texas",91.60%,"3,086",+/- 881
16,"Round Rock, Texas",91.60%,"3,122","+/- 1,019"
17,"Arlington, Virginia",91.50%,"8,452","+/- 1,329"
18,"Fort Collins, Colorado",91.40%,"4,957","+/- 1,022"
19,"Naperville, Illinois",91.30%,"4,329",+/- 911
20,"Torrance, California",91.20%,"5,010","+/- 1,110"
21,"Olathe, Kansas",91.10%,"4,033","+/- 1,071"
22,"Chandler, Arizona",91%,"7,640","+/- 1,328"
23,"The Woodlands, Texas",90.90%,"3,299","+/- 1,137"
24,"West Jordan, Utah",90.80%,"2,892",+/- 965
25,"Berkeley, California",90.80%,"4,222","+/- 1,022"
26,"Carlsbad, California",90.80%,"4,002","+/- 1,380"
27,"Ann Arbor, Michigan",90.80%,"4,279",+/- 895
28,"Fremont, California",90.70%,"6,935","+/- 1,415"
29,"Costa Mesa, California",90.60%,"3,762",+/- 980
30,"Santa Clara, California",90.50%,"4,094",+/- 991
31,"Elk Grove, California",90.10%,"4,830","+/- 1,231"
32,"San Mateo, California",90%,"3,858",+/- 964
33,"Murrieta, California",89.90%,"3,369","+/- 1,001"
34,"Rancho Cucamonga, California",89.80%,"5,553","+/- 1,275"
35,"Overland Park, Kansas",89.60%,"7,771","+/- 1,570"
36,"Virginia Beach, Virginia",89.50%,"17,375","+/- 2,140"
37,"Temecula, California",89.50%,"3,347",+/- 971
38,"Miramar, Florida",89.50%,"3,975","+/- 1,246"
39,"Thousand Oaks, California",89.30%,"5,012","+/- 1,163"
40,"Santa Clarita, California",89.30%,"6,438","+/- 1,183"
41,"Rochester, Minnesota",89%,"4,796",+/- 871
42,"Huntington Beach, California",88.90%,"8,246","+/- 1,391"
43,"Alexandria, Virginia",88.80%,"7,340","+/- 1,401"
44,"Pembroke Pines, Florida",88.70%,"6,148","+/- 1,129"
45,"Fullerton, California",88.60%,"5,056","+/- 1,021"
46,"Thornton, Colorado",88.40%,"4,890","+/- 1,061"
47,"San Jose, California",88.40%,"36,361","+/- 2,965"
