,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
643,"Aberdeen, SD",,,,,,,43191.0
644,"Aberdeen, WA",,,,,,,73901.0
0,"Abilene, TX","6,749",3.3,"4,277","703,615,180",801,68.90%,171451.0
645,"Ada, OK",,,,,,,38247.0
1197,"Adjuntas, PR",,,,,,,17302.0
646,"Adrian, MI",,,,,,,98266.0
376,"Aguadilla-Isabela, PR",,,"3,648","304,855,671",455,,289735.0
1,"Akron, OH","32,386",4.6,"17,670","3,784,546,233",901,68.20%,704845.0
647,"Alamogordo, NM",,,,,,,66781.0
2,"Albany, GA","4,664",4.4,"3,300","598,604,319",771,,153009.0
3,"Albany, OR","3,630",5.0,"3,663","547,388,461",895,,127335.0
4,"Albany-Schenectady-Troy, NY","46,524",3.6,"23,739","5,904,437,159","1,024",,883169.0
648,"Albemarle, NC",,,,,,,62075.0
649,"Albert Lea, MN",,,,,,,30444.0
650,"Albertville, AL",,,,,,,96109.0
5,"Albuquerque, NM","38,523",5.4,"23,200","4,308,245,919",876,77.10%,915927.0
651,"Alexander City, AL",,,,,,,40497.0
6,"Alexandria, LA","5,129",5.7,"3,930","602,450,530",772,,153044.0
652,"Alexandria, MN",,,,,,,37964.0
429,"Alexandria, VA",,,,,,88.80%,
653,"Alice, TX",,,,,,,40822.0
573,"Allentown, PA",,,,,,71.50%,
7,"Allentown-Bethlehem-Easton, PA-NJ","38,613",4.5,"19,506","4,384,208,529",943,,842913.0
654,"Alma, MI",,,,,,,40599.0
655,"Alpena, MI",,,,,,,28360.0
8,"Altoona, PA","4,690",4.8,"3,378","594,241,792",780,,122492.0
656,"Altus, OK",,,,,,,24949.0
9,"Amarillo, TX","12,238",2.8,"6,857","1,304,236,790",873,75.40%,265947.0
657,"Americus, GA",,,,,,,34969.0
10,"Ames, IA","4,461",2.2,"2,637","583,033,680",940,,98105.0
658,"Amsterdam, NY",,,,,,,49455.0
482,"Anaheim, CA",,,,,,83.50%,
620,"Anaheim-Santa Ana-Irvine, CA Metro Division",,,,,,,3185968.0
447,"Anchorage municipality, AK",,,,,,87.20%,
11,"Anchorage, AK","24,682",5.1,"10,401","2,416,436,500","1,077",,399148.0
659,"Andrews, TX",,,,,,,18128.0
660,"Angola, IN",,,,,,,34586.0
12,"Ann Arbor, MI","20,545",4.2,"8,361","3,128,749,125","1,143",90.80%,370963.0
13,"Anniston-Oxford-Jacksonville, AL","3,419",3.5,"2,560","437,327,209",757,,114277.0
