,State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
0,48,"Loving County, Texas",74.0,57.5,80938.0,35530.0,12.0,16.216216216216218,0.0,31.0,7.0,7.0,20.0,13.0,7.0,6.0,0.0,11.0
1,15,"Kalawao County, Hawaii",86.0,57.6,61750.0,46024.0,10.0,11.627906976744184,0.0,53.0,7.0,25.0,32.0,21.0,11.0,2.0,0.0,18.0
2,48,"King County, Texas",289.0,32.7,56964.0,29918.0,10.0,3.460207612456748,3.8062283737024223,101.0,10.0,52.0,74.0,53.0,19.0,13.0,0.0,16.0
3,31,"Arthur County, Nebraska",421.0,43.3,41250.0,21799.0,46.0,10.926365795724466,0.2375296912114014,177.0,10.0,105.0,123.0,59.0,55.0,15.0,5.0,44.0
4,31,"McPherson County, Nebraska",432.0,48.5,60714.0,27241.0,69.0,15.972222222222221,0.0,192.0,27.0,51.0,119.0,59.0,24.0,41.0,36.0,69.0
5,30,"Petroleum County, Montana",453.0,51.7,46429.0,31549.0,45.0,9.933774834437086,3.0905077262693155,206.0,3.0,133.0,152.0,69.0,69.0,16.0,13.0,42.0
6,31,"Blaine County, Nebraska",502.0,46.8,52000.0,28503.0,49.0,9.760956175298805,0.5976095617529881,232.0,14.0,156.0,182.0,93.0,80.0,24.0,2.0,43.0
7,31,"Loup County, Nebraska",537.0,52.8,58625.0,29248.0,48.0,8.938547486033519,0.37243947858473,245.0,11.0,139.0,165.0,105.0,56.0,17.0,3.0,65.0
8,35,"Harding County, New Mexico",546.0,58.4,35096.0,30782.0,108.0,19.78021978021978,2.5641025641025643,203.0,6.0,81.0,96.0,37.0,49.0,17.0,5.0,101.0
9,48,"Kenedy County, Texas",564.0,29.8,24800.0,13705.0,140.0,24.82269503546099,0.0,152.0,28.0,24.0,55.0,40.0,15.0,3.0,0.0,97.0
