Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet,State,county,Poverty Rate,Unemployment Rate
"Corozal Municipio, Puerto Rico",14752.0,34933.0,38.1,7887.0,19146.0,3296.0,11026.0,2381.0,2268.0,5021.0,4088.0,706.0,361.0,161.0,5686.0,72,047,54.807774883348124,9.435204534394412
"Maunabo Municipio, Puerto Rico",17636.0,11297.0,43.5,8830.0,5945.0,735.0,3976.0,434.0,1078.0,1577.0,987.0,512.0,77.0,37.0,2157.0,72,095,52.62459059927414,6.506152075772329
"Peñuelas Municipio, Puerto Rico",16868.0,21661.0,36.4,7983.0,12379.0,1601.0,7132.0,1361.0,2329.0,3877.0,3090.0,736.0,181.0,27.0,2972.0,72,111,57.14879276118369,7.391163842851207
"Ponce Municipio, Puerto Rico",16561.0,148863.0,39.5,10775.0,75187.0,7013.0,53341.0,5613.0,18366.0,25211.0,17691.0,6802.0,1210.0,510.0,25042.0,72,113,50.50751361990555,4.7110430395732985
"San Sebastián Municipio, Puerto Rico",14275.0,38970.0,42.0,8072.0,21472.0,3307.0,14278.0,1525.0,2446.0,4743.0,2737.0,1335.0,829.0,456.0,8622.0,72,131,55.09879394405953,8.48601488324352
"Toa Alta Municipio, Puerto Rico",29672.0,74169.0,37.1,14162.0,22070.0,4266.0,22205.0,3316.0,8516.0,12769.0,7661.0,4296.0,1404.0,474.0,8844.0,72,135,29.756367215413448,5.751729159082636
"Toa Baja Municipio, Puerto Rico",24583.0,81905.0,38.9,12240.0,29279.0,6565.0,27802.0,5744.0,8953.0,15429.0,12312.0,2742.0,1222.0,227.0,11565.0,72,137,35.74751236188267,8.015383676210243
"Vieques Municipio, Puerto Rico",16261.0,8931.0,41.4,11136.0,3260.0,428.0,2555.0,420.0,565.0,1124.0,825.0,235.0,156.0,47.0,1359.0,72,147,36.50207143656925,4.792296495353264
"Yabucoa Municipio, Puerto Rico",15586.0,35025.0,41.6,8672.0,18297.0,2685.0,11989.0,1386.0,2963.0,5199.0,3134.0,1604.0,1041.0,380.0,5787.0,72,151,52.23982869379015,7.665952890792291
"Aguada Municipio, Puerto Rico",16199.0,39470.0,41.0,9001.0,20558.0,2538.0,12824.0,1710.0,4179.0,6228.0,3175.0,2648.0,396.0,153.0,5800.0,72,003,52.08512794527489,6.430200152014188
"Caguas Municipio, Puerto Rico",24229.0,134269.0,39.7,13904.0,50442.0,8503.0,49386.0,10186.0,19631.0,31412.0,24130.0,5845.0,1491.0,371.0,16783.0,72,025,37.5678674898897,6.3328095092687064
"Canóvanas Municipio, Puerto Rico",19986.0,46779.0,39.0,11094.0,19930.0,4353.0,14603.0,3866.0,5614.0,10171.0,8432.0,1612.0,761.0,97.0,4309.0,72,029,42.60458752859189,9.305457577117938
"Cidra Municipio, Puerto Rico",20389.0,41181.0,38.7,10965.0,17723.0,2653.0,12998.0,1023.0,4505.0,5762.0,3211.0,2327.0,166.0,45.0,6518.0,72,041,43.03683737646002,6.442291347951725
