,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017
0,"Abilene, TX","6,749",3.3
1,"Akron, OH","32,386",4.6
2,"Albany, GA","4,664",4.4
3,"Albany, OR","3,630",5
4,"Albany-Schenectady-Troy, NY","46,524",3.6
5,"Albuquerque, NM","38,523",5.4
6,"Alexandria, LA","5,129",5.7
7,"Allentown-Bethlehem-Easton, PA-NJ","38,613",4.5
8,"Altoona, PA","4,690",4.8
9,"Amarillo, TX","12,238",2.8
10,"Ames, IA","4,461",2.2
11,"Anchorage, AK","24,682",5.1
12,"Ann Arbor, MI","20,545",4.2
13,"Anniston-Oxford-Jacksonville, AL","3,419",3.5
14,"Appleton, WI","11,412",3.1
15,"Asheville, NC","17,329",3.5
16,"Athens-Clarke County, GA","8,482",3.5
17,"Atlanta-Sandy Springs-Roswell, GA","334,488",3.5
18,"Atlantic City-Hammonton, NJ","11,233",4.5
19,"Auburn-Opelika, AL","4,715",2.8
20,"Augusta-Richmond County, GA-SC","20,911",4
21,"Austin-Round Rock, TX","135,072",2.9
22,"Bakersfield, CA","33,594",8.4
23,"Baltimore-Columbia-Towson, MD","165,903",4.1
24,"Bangor, ME","5,252",2.5
25,"Barnstable Town, MA","9,837",2.7
26,"Baton Rouge, LA","45,015",4.8
27,"Battle Creek, MI","5,354",5.2
28,"Bay City, MI","2,851",5.5
29,"Beaumont-Port Arthur, TX","20,143",6
30,"Beckley, WV","3,957",4.7
31,"Bellingham, WA","9,276",5.4
32,"Bend-Redmond, OR","8,780",3.9
33,"Billings, MT","8,563",2.8
34,"Binghamton, NY","8,524",4.5
35,"Birmingham-Hoover, AL","55,927",2.7
36,"Bismarck, ND","6,921",2.2
37,"Blacksburg-Christiansburg-Radford, VA","6,134",3.2
38,"Bloomington, IL","10,924",4.1
39,"Bloomington, IN","6,355",4
40,"Bloomsburg-Berwick, PA","3,566",4.6
41,"Boise City, ID","29,425",2.8
42,"Boulder, CO","22,601",2.4
43,"Bowling Green, KY","6,283",4.8
44,"Bremerton-Silverdale, WA","9,867",5.1
45,"Bridgeport-Stamford-Norwalk, CT","82,721",3.6
46,"Brownsville-Harlingen, TX","8,777",5.8
47,"Brunswick, GA","3,422",3.5
48,"Buffalo-Cheektowaga-Niagara Falls, NY","50,980",4.3
49,"Burlington, NC","4,723",4.4
50,"Burlington-South Burlington, VT","12,368",1.8
51,"California-Lexington Park, MD","5,585",4.2
52,"Canton-Massillon, OH","14,901",4.6
53,"Cape Coral-Fort Myers, FL","24,234",3.4
54,"Cape Girardeau, MO-IL","3,736",3.7
55,"Carbondale-Marion, IL","4,584",4.2
56,"Carson City, NV","3,020",4.1
57,"Casper, WY","5,426",3.9
58,"Cedar Rapids, IA","16,448",2.9
59,"Chambersburg-Waynesboro, PA","4,805",4
60,"Champaign-Urbana, IL","10,500",4.2
61,"Charleston, WV","11,143",4.5
62,"Charleston-North Charleston, SC","36,074",2.8
63,"Charlotte-Concord-Gastonia, NC-SC","146,630",4
64,"Charlottesville, VA","11,510",2.7
65,"Chattanooga, TN-GA","23,425",4
66,"Cheyenne, WY","4,820",3.6
67,"Chicago-Naperville-Elgin, IL-IN-WI","583,137",4.1
68,"Chico, CA","6,996",5.4
69,"Cincinnati, OH-KY-IN","119,223",4.2
70,"Clarksville, TN-KY","9,623",5.2
71,"Cleveland, TN","3,752",4.8
72,"Cleveland-Elyria, OH","120,380",5.1
73,"Coeur d'Alene, ID","5,128",3
74,"College Station-Bryan, TX","8,972",3.1
75,"Colorado Springs, CO","28,886",3.4
76,"Columbia, MO","7,963",2.9
77,"Columbia, SC","35,421",3.1
78,"Columbus, GA-AL","11,596",4.4
79,"Columbus, IN","5,236",2.6
80,"Columbus, OH","117,250",3.9
81,"Corpus Christi, TX","18,738",4.5
82,"Corvallis, OR","4,375",3.8
83,"Crestview-Fort Walton Beach-Destin, FL","12,525",2.8
84,"Cumberland, MD-WV","2,824",5.9
85,"Dallas-Fort Worth-Arlington, TX","479,678",3.4
86,"Dalton, GA","5,870",4.6
87,"Danville, IL","2,501",5.4
88,"Daphne-Fairhope-Foley, AL","6,302",2.5
89,"Davenport-Moline-Rock Island, IA-IL","17,440",3.9
90,"Dayton, OH","35,397",4.5
91,"Decatur, AL","4,654",2.7
92,"Decatur, IL","5,315",5.4
93,"Deltona-Daytona Beach-Ormond Beach, FL","14,888",3.7
94,"Denver-Aurora-Lakewood, CO","185,942",2.7
95,"Des Moines-West Des Moines, IA","49,031",2.6
96,"Detroit-Warren-Dearborn, MI","228,069",5.3
97,"Dothan, AL","4,635",3
98,"Dover, DE","6,264",4.5
99,"Dubuque, IA","5,304",2.4
100,"Duluth, MN-WI","11,564",4.1
101,"Durham-Chapel Hill, NC","37,278",3.9
102,"East Stroudsburg, PA","5,311",5.4
103,"Eau Claire, WI","7,486",3.3
104,"El Centro, CA","5,137",20.7
105,"Elizabethtown-Fort Knox, KY","5,444",5
106,"Elkhart-Goshen, IN","15,200",3.6
107,"Elmira, NY","2,913",4.2
108,"El Paso, TX","25,332",4.1
109,"Enid, OK","2,986",3.1
110,"Erie, PA","9,678",4.7
111,"Eugene, OR","13,643",4.6
112,"Evansville, IN-KY","15,326",3.4
113,"Fairbanks, AK","4,736",4.8
114,"Fargo, ND-MN","14,015",2.2
115,"Farmington, NM","6,134",6.6
116,"Fayetteville, NC","14,992",5.8
117,"Fayetteville-Springdale-Rogers, AR-MO","25,341",2.8
118,"Flagstaff, AZ","5,017",6.5
119,"Flint, MI","11,955",6.1
120,"Florence, SC","7,432",3.6
121,"Florence-Muscle Shoals, AL","4,346",3.7
122,"Fond du Lac, WI","4,388",3.2
123,"Fort Collins, CO","15,073",2.3
124,"Fort Smith, AR-OK","8,914",3.9
125,"Fort Wayne, IN","19,786",3.4
126,"Fresno, CA","35,866",7.3
127,"Gadsden, AL","2,606",3.3
128,"Gainesville, FL","11,112",3.5
129,"Gainesville, GA","8,253",2.9
130,"Gettysburg, PA","2,999",3.6
131,"Glens Falls, NY","4,437",3.5
132,"Goldsboro, NC","3,908",4.7
133,"Grand Forks, ND-MN","4,915",2.9
134,"Grand Island, NE","3,850",3.4
135,"Grand Junction, CO","4,842",3.5
136,"Grand Rapids-Wyoming, MI","52,734",3.9
137,"Grants Pass, OR","2,167",5.3
138,"Great Falls, MT","3,026",2.8
139,"Greeley, CO","10,987",2.6
140,"Green Bay, WI","17,091",3.3
141,"Greensboro-High Point, NC","35,596",4.7
142,"Greenville, NC","6,890",5.2
143,"Greenville-Anderson-Mauldin, SC","36,527",2.9
144,"Gulfport-Biloxi-Pascagoula, MS","15,037",5.9
145,"Hagerstown-Martinsburg, MD-WV","8,732",3.8
146,"Hammond, LA","3,464",6.1
147,"Hanford-Corcoran, CA","4,469",7.8
148,"Harrisburg-Carlisle, PA","32,491",4
149,"Harrisonburg, VA","6,975",3
150,"Hartford-West Hartford-East Hartford, CT","79,244",3.7
151,"Hattiesburg, MS","5,334",5.4
152,"Hickory-Lenoir-Morganton, NC","12,488",4.2
153,"Hilton Head Island-Bluffton-Beaufort, SC","7,890",3
154,"Hinesville, GA","2,993",4.2
155,"Homosassa Springs, FL","2,757",5.2
156,"Hot Springs, AR","2,789",4.1
157,"Houma-Thibodaux, LA","7,972",4.9
158,"Houston-The Woodlands-Sugar Land, TX","436,369",4
159,"Huntington-Ashland, WV-KY-OH","13,229",5.3
160,"Huntsville, AL","22,677",2.6
161,"Idaho Falls, ID","6,094",2.2
162,"Indianapolis-Carmel-Anderson, IN","122,608",3.3
163,"Iowa City, IA","8,934",2.3
164,"Ithaca, NY","4,391",3.9
165,"Jackson, MI","5,548",4.9
166,"Jackson, MS","26,268",5.3
167,"Jackson, TN","5,629",4.3
168,"Jacksonville, FL","65,830",3.5
169,"Jacksonville, NC","7,385",5.3
170,"Janesville-Beloit, WI","5,737",3.8
171,"Jefferson City, MO","6,359",3.2
172,"Johnson City, TN","6,092",4.7
173,"Johnstown, PA","3,690",5.8
174,"Jonesboro, AR","4,521",3.3
175,"Joplin, MO","6,486",3.7
176,"Kahului-Wailuku-Lahaina, HI","7,938",2.6
177,"Kalamazoo-Portage, MI","14,630",4.6
178,"Kankakee, IL","3,840",4.6
179,"Kansas City, MO-KS","114,418",4
180,"Kennewick-Richland, WA","11,894",5.4
181,"Killeen-Temple, TX","15,411",4
182,"Kingsport-Bristol-Bristol, TN-VA","10,101",4.4
183,"Kingston, NY","5,318",3.7
184,"Knoxville, TN","36,179",4.2
185,"Kokomo, IN","4,101",3.9
186,"La Crosse-Onalaska, WI-MN","6,510",3
187,"Lafayette, LA","19,285",5
188,"Lafayette-West Lafayette, IN","8,945",3.4
189,"Lake Charles, LA","13,614",4.2
190,"Lake Havasu City-Kingman, AZ","3,759",6.5
191,"Lakeland-Winter Haven, FL","18,297",4.1
192,"Lancaster, PA","25,170",3.8
193,"Lansing-East Lansing, MI","19,548",4.6
194,"Laredo, TX","7,090",4
195,"Las Cruces, NM","6,171",6.4
196,"Las Vegas-Henderson-Paradise, NV","96,062",4.7
