,Metropolitan Areas,GDP 2017
0,U.S. metropolitan areas,"15,224,212"
1,"Abilene, TX","6,749"
2,"Akron, OH","32,386"
3,"Albany, GA","4,664"
4,"Albany, OR","3,630"
5,"Albany-Schenectady-Troy, NY","46,524"
6,"Albuquerque, NM","38,523"
7,"Alexandria, LA","5,129"
8,"Allentown-Bethlehem-Easton, PA-NJ","38,613"
9,"Altoona, PA","4,690"
10,"Amarillo, TX","12,238"
11,"Ames, IA","4,461"
12,"Anchorage, AK","24,682"
13,"Ann Arbor, MI","20,545"
14,"Anniston-Oxford-Jacksonville, AL","3,419"
15,"Appleton, WI","11,412"
16,"Asheville, NC","17,329"
17,"Athens-Clarke County, GA","8,482"
18,"Atlanta-Sandy Springs-Roswell, GA","334,488"
19,"Atlantic City-Hammonton, NJ","11,233"
20,"Auburn-Opelika, AL","4,715"
21,"Augusta-Richmond County, GA-SC","20,911"
22,"Austin-Round Rock, TX","135,072"
23,"Bakersfield, CA","33,594"
24,"Baltimore-Columbia-Towson, MD","165,903"
25,"Bangor, ME","5,252"
26,"Barnstable Town, MA","9,837"
27,"Baton Rouge, LA","45,015"
28,"Battle Creek, MI","5,354"
29,"Bay City, MI","2,851"
30,"Beaumont-Port Arthur, TX","20,143"
31,"Beckley, WV","3,957"
32,"Bellingham, WA","9,276"
33,"Bend-Redmond, OR","8,780"
34,"Billings, MT","8,563"
35,"Binghamton, NY","8,524"
36,"Birmingham-Hoover, AL","55,927"
37,"Bismarck, ND","6,921"
38,"Blacksburg-Christiansburg-Radford, VA","6,134"
39,"Bloomington, IL","10,924"
40,"Bloomington, IN","6,355"
41,"Bloomsburg-Berwick, PA","3,566"
42,"Boise City, ID","29,425"
43,"Boston-Cambridge-Newton, MA-NH","379,499"
44,"Boulder, CO","22,601"
45,"Bowling Green, KY","6,283"
46,"Bremerton-Silverdale, WA","9,867"
47,"Bridgeport-Stamford-Norwalk, CT","82,721"
48,"Brownsville-Harlingen, TX","8,777"
49,"Brunswick, GA","3,422"
50,"Buffalo-Cheektowaga-Niagara Falls, NY","50,980"
51,"Burlington, NC","4,723"
52,"Burlington-South Burlington, VT","12,368"
53,"California-Lexington Park, MD","5,585"
54,"Canton-Massillon, OH","14,901"
55,"Cape Coral-Fort Myers, FL","24,234"
56,"Cape Girardeau, MO-IL","3,736"
57,"Carbondale-Marion, IL","4,584"
58,"Carson City, NV","3,020"
59,"Casper, WY","5,426"
60,"Cedar Rapids, IA","16,448"
61,"Chambersburg-Waynesboro, PA","4,805"
62,"Champaign-Urbana, IL","10,500"
63,"Charleston, WV","11,143"
64,"Charleston-North Charleston, SC","36,074"
65,"Charlotte-Concord-Gastonia, NC-SC","146,630"
66,"Charlottesville, VA","11,510"
67,"Chattanooga, TN-GA","23,425"
68,"Cheyenne, WY","4,820"
69,"Chicago-Naperville-Elgin, IL-IN-WI","583,137"
70,"Chico, CA","6,996"
71,"Cincinnati, OH-KY-IN","119,223"
72,"Clarksville, TN-KY","9,623"
73,"Cleveland, TN","3,752"
74,"Cleveland-Elyria, OH","120,380"
75,"Coeur d'Alene, ID","5,128"
76,"College Station-Bryan, TX","8,972"
77,"Colorado Springs, CO","28,886"
78,"Columbia, MO","7,963"
79,"Columbia, SC","35,421"
80,"Columbus, GA-AL","11,596"
81,"Columbus, IN","5,236"
82,"Columbus, OH","117,250"
83,"Corpus Christi, TX","18,738"
84,"Corvallis, OR","4,375"
85,"Crestview-Fort Walton Beach-Destin, FL","12,525"
86,"Cumberland, MD-WV","2,824"
87,"Dallas-Fort Worth-Arlington, TX","479,678"
88,"Dalton, GA","5,870"
89,"Danville, IL","2,501"
90,"Daphne-Fairhope-Foley, AL","6,302"
91,"Davenport-Moline-Rock Island, IA-IL","17,440"
92,"Dayton, OH","35,397"
93,"Decatur, AL","4,654"
94,"Decatur, IL","5,315"
95,"Deltona-Daytona Beach-Ormond Beach, FL","14,888"
96,"Denver-Aurora-Lakewood, CO","185,942"
97,"Des Moines-West Des Moines, IA","49,031"
98,"Detroit-Warren-Dearborn, MI","228,069"
99,"Dothan, AL","4,635"
100,"Dover, DE","6,264"
