"Table 2. Real Gross Domestic Product (GDP) by Metropolitan Area, 2012-2017",,,,,,,,,,,,
,Millions of chained (2009) dollars,,,,,,Percent Change,,,,,Percent Change Rank
,2012,2013,2014,2015,2016,2017*,2013,2014,2015,2016,2017*,2017*
U.S. metropolitan areas,"13,692,212","13,891,109","14,219,922","14,671,751","14,907,918","15,224,212",1.5,2.4,3.2,1.6,2.1,.......
"Abilene, TX","5,932","6,294","6,685","6,567","6,374","6,749",6.1,6.2,-1.8,-2.9,5.9,12
"Akron, OH","28,581","29,301","30,800","32,011","32,186","32,386",2.5,5.1,3.9,0.5,0.6,274
"Albany, GA","4,811","4,818","4,662","4,515","4,582","4,664",0.2,-3.3,-3.1,1.5,1.8,172
"Albany, OR","3,334","3,310","3,283","3,409","3,657","3,630",-0.7,-0.8,3.9,7.2,-0.7,342
"Albany-Schenectady-Troy, NY","43,386","43,764","44,121","45,589","46,025","46,524",0.9,0.8,3.3,1.0,1.1,241
"Albuquerque, NM","37,394","35,745","36,818","37,691","38,745","38,523",-4.4,3.0,2.4,2.8,-0.6,339
"Alexandria, LA","5,113","5,048","5,033","5,100","5,249","5,129",-1.3,-0.3,1.3,2.9,-2.3,368
"Allentown-Bethlehem-Easton, PA-NJ","32,472","33,544","36,183","37,762","37,471","38,613",3.3,7.9,4.4,-0.8,3.0,68
"Altoona, PA","4,527","4,584","4,644","4,712","4,645","4,690",1.3,1.3,1.5,-1.4,1.0,249
"Amarillo, TX","11,044","11,181","11,432","11,917","12,044","12,238",1.2,2.3,4.2,1.1,1.6,194
"Ames, IA","4,165","4,098","4,158","4,383","4,219","4,461",-1.6,1.5,5.4,-3.7,5.7,14
"Anchorage, AK","27,970","26,759","25,795","25,817","24,943","24,682",-4.3,-3.6,0.1,-3.4,-1.0,351
"Ann Arbor, MI","19,085","19,171","18,692","19,575","20,045","20,545",0.5,-2.5,4.7,2.4,2.5,114
"Anniston-Oxford-Jacksonville, AL","3,634","3,455","3,408","3,346","3,377","3,419",-4.9,-1.4,-1.8,0.9,1.2,224
"Appleton, WI","10,250","10,083","10,415","10,919","11,283","11,412",-1.6,3.3,4.8,3.3,1.1,233
"Asheville, NC","14,052","14,305","14,870","15,787","16,650","17,329",1.8,4.0,6.2,5.5,4.1,37
"Athens-Clarke County, GA","6,795","6,774","6,926","7,440","8,088","8,482",-0.3,2.2,7.4,8.7,4.9,24
"Atlanta-Sandy Springs-Roswell, GA","278,536","288,394","299,830","311,373","324,971","334,488",3.5,4.0,3.8,4.4,2.9,76
"Atlantic City-Hammonton, NJ","12,071","11,937","11,637","11,143","11,264","11,233",-1.1,-2.5,-4.2,1.1,-0.3,326
"Auburn-Opelika, AL","3,986","4,059","4,221","4,329","4,538","4,715",1.8,4.0,2.6,4.8,3.9,39
"Augusta-Richmond County, GA-SC","20,035","19,751","20,147","20,628","20,785","20,911",-1.4,2.0,2.4,0.8,0.6,275
"Austin-Round Rock, TX","98,992","104,902","110,557","119,727","126,329","135,072",6.0,5.4,8.3,5.5,6.9,9
"Bakersfield, CA","32,091","32,417","33,648","33,756","34,046","33,594",1.0,3.8,0.3,0.9,-1.3,355
"Baltimore-Columbia-Towson, MD","155,582","156,911","158,797","160,112","164,254","165,903",0.9,1.2,0.8,2.6,1.0,244
"Bangor, ME","5,153","5,086","5,079","5,128","5,203","5,252",-1.3,-0.1,1.0,1.5,0.9,251
"Barnstable Town, MA","9,751","9,349","9,338","9,597","9,730","9,837",-4.1,-0.1,2.8,1.4,1.1,239
"Baton Rouge, LA","44,410","41,526","43,001","43,577","45,225","45,015",-6.5,3.6,1.3,3.8,-0.5,337
"Battle Creek, MI","5,166","5,297","5,204","5,227","5,279","5,354",2.5,-1.8,0.4,1.0,1.4,216
"Bay City, MI","2,991","2,976","2,853","2,863","2,897","2,851",-0.5,-4.1,0.3,1.2,-1.6,360
"Beaumont-Port Arthur, TX","18,723","19,399","19,741","20,377","20,722","20,143",3.6,1.8,3.2,1.7,-2.8,374
