"Unemployment Rates for Metropolitan Areas, Not Seasonally Adjusted",,
Metropolitan area,July 2019(P),Rank
,rate,
United States,4,
,,
"Burlington-South Burlington, VT Metropolitan NECTA",1.8,1
"Portland-South Portland, ME Metropolitan NECTA",1.9,2
"Portsmouth, NH-ME Metropolitan NECTA",2.1,3
"Sioux Falls, SD Metropolitan Statistical Area",2.1,3
"Ames, IA Metropolitan Statistical Area",2.2,5
"Bismarck, ND Metropolitan Statistical Area",2.2,5
"Fargo, ND-MN Metropolitan Statistical Area",2.2,5
"Idaho Falls, ID Metropolitan Statistical Area",2.2,5
"Midland, TX Metropolitan Statistical Area",2.2,5
"Dover-Durham, NH-ME Metropolitan NECTA",2.3,10
"Fort Collins, CO Metropolitan Statistical Area",2.3,10
"Iowa City, IA Metropolitan Statistical Area",2.3,10
"Boulder, CO Metropolitan Statistical Area",2.4,13
"Dubuque, IA Metropolitan Statistical Area",2.4,13
"Manchester, NH Metropolitan NECTA",2.4,13
"Bangor, ME Metropolitan NECTA",2.5,16
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",2.5,16
"Missoula, MT Metropolitan Statistical Area",2.5,16
"Urban Honolulu, HI Metropolitan Statistical Area",2.5,16
"Columbus, IN Metropolitan Statistical Area",2.6,20
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",2.6,20
"Greeley, CO Metropolitan Statistical Area",2.6,20
"Huntsville, AL Metropolitan Statistical Area",2.6,20
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",2.6,20
"Lewiston-Auburn, ME Metropolitan NECTA",2.6,20
"Logan, UT-ID Metropolitan Statistical Area",2.6,20
"Madison, WI Metropolitan Statistical Area",2.6,20
"Rapid City, SD Metropolitan Statistical Area",2.6,20
"Staunton-Waynesboro, VA Metropolitan Statistical Area",2.6,20
"Barnstable Town, MA Metropolitan NECTA",2.7,30
"Birmingham-Hoover, AL Metropolitan Statistical Area",2.7,30
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",2.7,30
"Charlottesville, VA Metropolitan Statistical Area",2.7,30
"Decatur, AL Metropolitan Statistical Area",2.7,30
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",2.7,30
"Sioux City, IA-NE-SD Metropolitan Statistical Area",2.7,30
"Twin Falls, ID Metropolitan Statistical Area",2.7,30
"Winchester, VA-WV Metropolitan Statistical Area",2.7,30
"Amarillo, TX Metropolitan Statistical Area",2.8,39
"Auburn-Opelika, AL Metropolitan Statistical Area",2.8,39
"Billings, MT Metropolitan Statistical Area",2.8,39
"Boise City, ID Metropolitan Statistical Area",2.8,39
"Charleston-North Charleston, SC Metropolitan Statistical Area",2.8,39
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",2.8,39
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",2.8,39
"Great Falls, MT Metropolitan Statistical Area",2.8,39
"Odessa, TX Metropolitan Statistical Area",2.8,39
"Rochester, MN Metropolitan Statistical Area",2.8,39
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",2.8,39
"Sheboygan, WI Metropolitan Statistical Area",2.8,39
"Austin-Round Rock, TX Metropolitan Statistical Area",2.9,51
"Cedar Rapids, IA Metropolitan Statistical Area",2.9,51
"Columbia, MO Metropolitan Statistical Area",2.9,51
"Gainesville, GA Metropolitan Statistical Area",2.9,51
"Grand Forks, ND-MN Metropolitan Statistical Area",2.9,51
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",2.9,51
"Mankato-North Mankato, MN Metropolitan Statistical Area",2.9,51
"Provo-Orem, UT Metropolitan Statistical Area",2.9,51
"Roanoke, VA Metropolitan Statistical Area",2.9,51
"Salt Lake City, UT Metropolitan Statistical Area",2.9,51
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",2.9,51
"Coeur d'Alene, ID Metropolitan Statistical Area",3,62
"Danbury, CT Metropolitan NECTA",3,62
"Dothan, AL Metropolitan Statistical Area",3,62
"Harrisonburg, VA Metropolitan Statistical Area",3,62
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",3,62
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",3,62
"Montgomery, AL Metropolitan Statistical Area",3,62
"Napa, CA Metropolitan Statistical Area",3,62
"Ogden-Clearfield, UT Metropolitan Statistical Area",3,62
"Richmond, VA Metropolitan Statistical Area",3,62
"St. Cloud, MN Metropolitan Statistical Area",3,62
"Santa Rosa, CA Metropolitan Statistical Area",3,62
"Springfield, MO Metropolitan Statistical Area",3,62
"Wausau, WI Metropolitan Statistical Area",3,62
"Appleton, WI Metropolitan Statistical Area",3.1,76
"College Station-Bryan, TX Metropolitan Statistical Area",3.1,76
"Columbia, SC Metropolitan Statistical Area",3.1,76
"Enid, OK Metropolitan Statistical Area",3.1,76
"Lincoln, NE Metropolitan Statistical Area",3.1,76
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.1,76
"Oklahoma City, OK Metropolitan Statistical Area",3.1,76
"Pittsfield, MA Metropolitan NECTA",3.1,76
"Spartanburg, SC Metropolitan Statistical Area",3.1,76
"Tuscaloosa, AL Metropolitan Statistical Area",3.1,76
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",3.1,76
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",3.2,87
"Fond du Lac, WI Metropolitan Statistical Area",3.2,87
"Jefferson City, MO Metropolitan Statistical Area",3.2,87
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",3.2,87
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",3.2,87
"Oshkosh-Neenah, WI Metropolitan Statistical Area",3.2,87
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",3.2,87
"Sherman-Denison, TX Metropolitan Statistical Area",3.2,87
"Abilene, TX Metropolitan Statistical Area",3.3,95
"Eau Claire, WI Metropolitan Statistical Area",3.3,95
"Gadsden, AL Metropolitan Statistical Area",3.3,95
"Green Bay, WI Metropolitan Statistical Area",3.3,95
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",3.3,95
"Jonesboro, AR Metropolitan Statistical Area",3.3,95
"Lubbock, TX Metropolitan Statistical Area",3.3,95
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",3.3,95
"Pocatello, ID Metropolitan Statistical Area",3.3,95
"San Angelo, TX Metropolitan Statistical Area",3.3,95
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.3,95
"Trenton, NJ Metropolitan Statistical Area",3.3,95
"Tulsa, OK Metropolitan Statistical Area",3.3,95
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.3,95
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",3.3,95
"Worcester, MA-CT Metropolitan NECTA",3.3,95
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",3.4,111
"Colorado Springs, CO Metropolitan Statistical Area",3.4,111
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.4,111
"Evansville, IN-KY Metropolitan Statistical Area",3.4,111
"Fort Wayne, IN Metropolitan Statistical Area",3.4,111
"Grand Island, NE Metropolitan Statistical Area",3.4,111
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",3.4,111
"Leominster-Gardner, MA Metropolitan NECTA",3.4,111
