,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018,GDP Per Capita
0,"Abilene, TX",6749.0,3.3,4277.0,703615180.0,801.0,68.9,171451.0,0.039364016541169194
1,"Akron, OH",32386.0,4.6,17670.0,3784546233.0,901.0,68.2,704845.0,0.045947690627017285
2,"Albuquerque, NM",38523.0,5.4,23200.0,4308245919.0,876.0,77.1,915927.0,0.04205902872172127
3,"Amarillo, TX",12238.0,2.8,6857.0,1304236790.0,873.0,75.4,265947.0,0.04601668753548639
4,"Ann Arbor, MI",20545.0,4.2,8361.0,3128749125.0,1143.0,90.8,370963.0,0.05538288185075061
5,"Athens-Clarke County, GA",8482.0,3.5,4787.0,968571270.0,839.0,76.0,211306.0,0.040140838404967204
6,"Bakersfield, CA",33594.0,8.4,19882.0,3773359287.0,873.0,79.2,896764.0,0.037461361071586284
7,"Baton Rouge, LA",45015.0,4.8,23707.0,4924625047.0,980.0,72.5,831310.0,0.054149474925118186
8,"Billings, MT",8563.0,2.8,7386.0,970357366.0,880.0,82.0,171677.0,0.04987855099984273
9,"Boise City, ID",29425.0,2.8,22966.0,3689384296.0,872.0,84.1,730426.0,0.04028471056616276
10,"Boulder, CO",22601.0,2.4,15824.0,3138365992.0,1305.0,92.7,326078.0,0.06931163709296549
11,"Cedar Rapids, IA",16448.0,2.9,8245.0,1875225202.0,1013.0,81.3,272295.0,0.060405075377807156
12,"Colorado Springs, CO",28886.0,3.4,21322.0,3533683083.0,951.0,86.8,738939.0,0.03909118344004038
13,"Columbia, MO",7963.0,2.9,4832.0,1017831459.0,837.0,87.3,180005.0,0.04423766006499819
14,"Columbia, SC",35421.0,3.1,19284.0,4124610176.0,849.0,74.0,832666.0,0.04253926544376737
15,"Columbus, OH",117250.0,3.9,49312.0,13800633520.0,1022.0,80.0,2106541.0,0.05565996579226324
16,"Corpus Christi, TX",18738.0,4.5,10128.0,2199582806.0,902.0,77.9,452950.0,0.041368804503808365
17,"Dayton, OH",35397.0,4.5,17802.0,4427395842.0,916.0,65.8,806548.0,0.04388703462162202
18,"El Paso, TX",25332.0,4.1,15507.0,2929595436.0,737.0,71.3,845553.0,0.029959091860593007
19,"Erie, PA",9678.0,4.7,6871.0,1265376090.0,792.0,70.1,272061.0,0.03557290460595234
20,"Eugene, OR",13643.0,4.6,12451.0,1679219626.0,827.0,87.3,379611.0,0.03593942219798689
21,"Fayetteville, NC",14992.0,5.8,6629.0,1335358563.0,817.0,81.3,387094.0,0.038729610895544754
22,"Fort Collins, CO",15073.0,2.3,12534.0,2068686915.0,965.0,91.4,350518.0,0.04300207122030823
23,"Fort Wayne, IN",19786.0,3.4,10218.0,2317055522.0,842.0,77.8,437631.0,0.0452116052107826
24,"Fresno, CA",35866.0,7.3,36501.0,4260333934.0,825.0,73.0,994400.0,0.036067980691874495
25,"Gainesville, FL",11112.0,3.5,7556.0,1582620330.0,904.0,83.3,288212.0,0.03855495260433292
26,"Green Bay, WI",17091.0,3.3,8505.0,2051739240.0,898.0,77.3,321591.0,0.05314514398723845
27,"Huntsville, AL",22677.0,2.6,11235.0,3235306772.0,1112.0,76.9,462693.0,0.04901089923556224
28,"Jackson, MS",26268.0,5.3,14621.0,2741197424.0,819.0,61.2,580166.0,0.04527669666957388
29,"Jacksonville, FL",65830.0,3.5,44140.0,8090327396.0,930.0,78.9,1534701.0,0.042894348801492926
30,"Knoxville, TN",36179.0,4.2,19941.0,4599686264.0,929.0,72.7,883309.0,0.04095848678095661
31,"Lafayette, LA",19285.0,5.0,15171.0,2208842345.0,867.0,81.3,489364.0,0.03940829321323187
32,"Laredo, TX",7090.0,4.0,5536.0,918153930.0,698.0,59.8,275910.0,0.025696785183574353
33,"Las Cruces, NM",6171.0,6.4,4872.0,674943457.0,717.0,77.7,217522.0,0.028369544230008918
34,"Lexington-Fayette, KY",26079.0,4.0,15474.0,3084109123.0,889.0,82.4,516697.0,0.0504725206455621
35,"Lincoln, NE",17300.0,3.1,10535.0,1984536058.0,855.0,83.3,334590.0,0.05170507187901611
36,"Lubbock, TX",12038.0,3.3,8109.0,1526261215.0,824.0,81.7,319068.0,0.03772863464841351
37,"Madison, WI",43597.0,2.6,19517.0,5002355532.0,993.0,87.1,660422.0,0.06601385174933604
38,"Midland, TX",29825.0,2.2,6055.0,1956514179.0,1393.0,84.0,178331.0,0.1672451789088829
39,"Mobile, AL",16803.0,3.8,10249.0,1984045486.0,896.0,66.5,413757.0,0.0406107932917147
40,"Modesto, CA",17954.0,6.6,15984.0,2385784556.0,946.0,74.3,549815.0,0.03265462019042769
41,"Montgomery, AL",15179.0,3.0,8854.0,1728356888.0,810.0,76.0,373225.0,0.04066983722955322
42,"Odessa, TX",9061.0,2.8,4070.0,1210422270.0,1175.0,78.5,162124.0,0.05588931928647208
43,"Oklahoma City, OK",67714.0,3.1,40779.0,7370985155.0,929.0,78.6,1396445.0,0.04849027351596375
44,"Peoria, IL",16364.0,4.5,7936.0,2103747642.0,957.0,73.8,368373.0,0.04442236537422667
45,"Pittsburgh, PA",131222.0,4.5,63143.0,15125681629.0,1037.0,77.3,2324743.0,0.05644580927870307
46,"Port St. Lucie, FL",12114.0,4.0,12921.0,1441239025.0,777.0,86.7,482040.0,0.025130694548170275
47,"Pueblo, CO",4534.0,4.4,3500.0,665966500.0,838.0,69.7,167529.0,0.0270639710139737
48,"Raleigh, NC",72626.0,3.9,39391.0,8640947293.0,1066.0,85.6,1362540.0,0.0533019214114815
49,"Reno, NV",23060.0,3.4,15132.0,3064850767.0,975.0,80.5,469764.0,0.049088478470040275
50,"Richmond, VA",70677.0,3.0,40463.0,8144672668.0,979.0,74.3,1306172.0,0.0541100253259142
51,"Rochester, MN",11200.0,2.8,5375.0,1801776691.0,1155.0,89.0,219802.0,0.05095495036441888
52,"Rochester, NY",48504.0,4.1,26893.0,6078457863.0,926.0,65.9,1071082.0,0.045285048203592256
53,"Rockford, IL",13235.0,6.5,6761.0,1720681854.0,905.0,73.6,337658.0,0.03919646506228196
54,"Salem, OR",14863.0,4.6,13182.0,1994099856.0,858.0,81.7,432102.0,0.034396971085530734
55,"Salinas, CA",20735.0,4.7,14023.0,2502709428.0,914.0,79.1,435594.0,0.04760166577133753
