,Metropolitan,Quarterly Income,Total Income,Avg Income
0,"Abilene, TX","4,277","703,615,180",801
1,"Aguadilla-Isabela, PR","3,648","304,855,671",455
2,"Akron, OH","17,670","3,784,546,233",901
3,"Albany, GA","3,300","598,604,319",771
4,"Albany, OR","3,663","547,388,461",895
5,"Albany-Schenectady-Troy, NY","23,739","5,904,437,159","1,024"
6,"Albuquerque, NM","23,200","4,308,245,919",876
7,"Alexandria, LA","3,930","602,450,530",772
8,"Allentown-Bethlehem-Easton, PA-NJ","19,506","4,384,208,529",943
9,"Altoona, PA","3,378","594,241,792",780
10,"Amarillo, TX","6,857","1,304,236,790",873
11,"Ames, IA","2,637","583,033,680",940
12,"Anchorage, AK","10,401","2,416,436,500","1,077"
13,"Ann Arbor, MI","8,361","3,128,749,125","1,143"
14,"Anniston-Oxford-Jacksonville, AL","2,560","437,327,209",757
15,"Appleton, WI","6,269","1,402,283,172",878
16,"Arecibo, PR","2,108","190,223,107",435
17,"Asheville, NC","14,316","1,985,267,564",793
18,"Athens-Clarke County, GA","4,787","968,571,270",839
19,"Atlanta-Sandy Springs-Roswell, GA","153,480","37,518,911,015","1,098"
20,"Atlantic City-Hammonton, NJ","6,480","1,461,532,428",851
21,"Auburn-Opelika, AL","3,220","563,059,406",726
22,"Augusta-Richmond County, GA-SC","11,241","2,618,807,283",896
23,"Austin-Round Rock, TX","60,009","15,439,625,984","1,163"
24,"Bakersfield, CA","19,882","3,773,359,287",873
25,"Baltimore-Columbia-Towson, MD","72,331","19,415,214,047","1,112"
26,"Bangor, ME","4,564","750,391,502",823
27,"Barnstable Town, MA","9,503","1,251,854,673",875
28,"Baton Rouge, LA","23,707","4,924,625,047",980
29,"Battle Creek, MI","2,257","691,092,394",970
30,"Bay City, MI","2,089","350,387,580",791
31,"Beaumont-Port Arthur, TX","8,323","2,132,245,142","1,027"
32,"Beckley, WV","3,207","418,681,564",776
33,"Bellingham, WA","7,417","1,078,426,342",899
34,"Bend-Redmond, OR","8,897","943,159,732",863
35,"Billings, MT","7,386","970,357,366",880
36,"Binghamton, NY","5,379","1,085,284,705",857
37,"Birmingham-Hoover, AL","29,685","6,316,895,109",980
38,"Bismarck, ND","5,042","865,268,904",955
39,"Blacksburg-Christiansburg-Radford, VA","4,427","774,059,000",854
40,"Bloomington, IL","3,729","1,113,891,188",979
41,"Bloomington, IN","3,323","733,108,020",832
42,"Bloomsburg-Berwick, PA","2,012","503,399,144",960
43,"Boise City, ID","22,966","3,689,384,296",872
44,"Boston-Cambridge-Newton, MA-NH","168,691","48,985,760,615","1,407"
45,"Boulder, CO","15,824","3,138,365,992","1,305"
46,"Bowling Green, KY","4,444","735,473,657",772
47,"Bremerton-Silverdale, WA","6,890","1,158,341,488",981
48,"Bridgeport-Stamford-Norwalk, CT","36,092","7,984,915,347","1,461"
49,"Brownsville-Harlingen, TX","6,566","1,139,056,160",632
50,"Brunswick, GA","3,054","459,269,459",817
51,"Buffalo-Cheektowaga-Niagara Falls, NY","29,261","6,333,678,524",905
52,"Burlington, NC","3,471","591,150,926",751
53,"Burlington-South Burlington, VT","8,572","1,577,137,262",990
54,"California-Lexington Park, MD","2,183","729,830,429","1,250"
55,"Canton-Massillon, OH","9,175","1,711,120,025",790
56,"Cape Coral-Fort Myers, FL","22,485","2,741,743,002",823
57,"Cape Girardeau, MO-IL","3,152","418,390,772",740
58,"Carbondale-Marion, IL","2,565","541,853,833",791
59,"Carson City, NV","2,095","375,342,672",963
60,"Casper, WY","3,567","479,992,974",955
61,"Cedar Rapids, IA","8,245","1,875,225,202","1,013"
62,"Chambersburg-Waynesboro, PA","3,302","657,953,299",846
63,"Champaign-Urbana, IL","4,800","1,151,799,179",901
64,"Charleston, WV","6,284","1,223,340,078",909
65,"Charleston-North Charleston, SC","21,400","4,043,670,674",905
66,"Charlotte-Concord-Gastonia, NC-SC","70,022","15,912,144,965","1,032"
67,"Charlottesville, VA","8,503","1,455,092,769","1,004"
68,"Chattanooga, TN-GA","12,542","2,843,812,380",879
69,"Cheyenne, WY","3,669","539,077,537",895
70,"Chicago-Naperville-Elgin, IL-IN-WI","250,287","67,137,656,373","1,137"
71,"Chico, CA","8,699","910,196,918",828
72,"Cincinnati, OH-KY-IN","54,731","13,972,808,850","1,016"
73,"Clarksville, TN-KY","5,168","861,633,044",754
74,"Cleveland, TN","2,180","433,320,731",762
75,"Cleveland-Elyria, OH","55,918","13,162,426,856",988
76,"Coeur d'Alene, ID","5,531","625,936,925",751
77,"College Station-Bryan, TX","5,443","1,156,000,579",793
78,"Colorado Springs, CO","21,322","3,533,683,083",951
79,"Columbia, MO","4,832","1,017,831,459",837
80,"Columbia, SC","19,284","4,124,610,176",849
81,"Columbus, GA-AL","6,050","1,205,901,072",797
82,"Columbus, IN","1,929","666,102,791",996
83,"Columbus, OH","49,312","13,800,633,520","1,022"
84,"Corpus Christi, TX","10,128","2,199,582,806",902
85,"Corvallis, OR","2,784","479,876,411",999
86,"Crestview-Fort Walton Beach-Destin, FL","9,264","1,182,763,714",816
87,"Cumberland, MD-WV","2,122","345,811,734",732
88,"Dallas-Fort Worth-Arlington, TX","183,257","52,426,796,383","1,140"
89,"Dalton, GA","2,694","685,356,070",796
90,"Danville, IL","1,359","275,116,650",801
91,"Daphne-Fairhope-Foley, AL","6,328","682,223,369",696
92,"Davenport-Moline-Rock Island, IA-IL","9,904","2,133,873,485",900
93,"Dayton, OH","17,802","4,427,395,842",916
94,"Decatur, AL","3,233","576,121,127",826
95,"Decatur, IL","2,181","616,462,734",954
96,"Deltona-Daytona Beach-Ormond Beach, FL","17,027","1,864,891,390",735
97,"Denver-Aurora-Lakewood, CO","105,392","23,432,376,277","1,206"
98,"Des Moines-West Des Moines, IA","22,288","4,875,986,432","1,020"
99,"Detroit-Warren-Dearborn, MI","98,917","27,329,195,122","1,091"
100,"Dothan, AL","3,799","580,742,042",792
101,"Dover, DE","4,272","734,963,255",852
102,"Dubuque, IA","3,323","645,430,741",842
103,"Duluth, MN-WI","7,293","1,446,175,535",870
104,"Durham-Chapel Hill, NC","14,629","4,723,936,466","1,197"
105,"East Stroudsburg, PA","3,536","602,996,863",807
106,"Eau Claire, WI","4,538","905,694,721",837
107,"El Centro, CA","7,588","614,931,107",787
108,"Elizabethtown-Fort Knox, KY","3,524","559,455,462",805
109,"Elkhart-Goshen, IN","4,755","1,587,558,777",887
110,"Elmira, NY","1,930","397,296,791",881
111,"El Paso, TX","15,507","2,929,595,436",737
112,"Erie, PA","6,871","1,265,376,090",792
113,"Eugene, OR","12,451","1,679,219,626",827
114,"Evansville, IN-KY","7,625","1,709,604,617",854
115,"Fairbanks, AK","2,293","519,140,814","1,052"
116,"Fargo, ND-MN","8,822","1,667,571,557",930
117,"Farmington, NM","2,949","515,142,105",846
118,"Fayetteville, NC","6,629","1,335,358,563",817
119,"Fayetteville-Springdale-Rogers, AR-MO","13,389","2,752,433,643",897
120,"Flagstaff, AZ","3,398","699,171,301",849
