County,Quarterly,January,February,March,Total,Average,March,Total
,Establishments,Employment,Employment,Employment,Quarterly,Weekly,Employment,Quarterly
,,,,,Wages,Wage,Location,Wages
,,,,,,,Quotient,Location
,,,,,,,,Quotient
,,,,,,,,
U.S. TOTAL,"9,902,437","123,622,767","123,963,802","124,457,115","$1,930,727,232,449 ","$1,198 ",1,1
"Autauga County, Alabama",820,"8,395","8,391","8,398","88,630,179",812,0.9,0.9
"Baldwin County, Alabama","6,320","63,368","64,350","66,012","591,183,384",704,1.02,0.99
"Barbour County, Alabama",507,"6,500","6,414","6,429","61,471,106",733,0.94,0.94
"Bibb County, Alabama",320,"3,051","3,137","3,233","33,383,740",818,0.85,0.87
"Blount County, Alabama",721,"6,569","6,567","6,611","58,573,550",685,0.89,0.88
"Bullock County, Alabama",147,"2,251","2,325","2,317","19,609,082",656,0.93,0.89
"Butler County, Alabama",445,"5,865","5,828","5,875","50,128,937",658,1.02,1.01
"Calhoun County, Alabama","2,421","32,256","32,350","32,494","305,315,833",726,0.86,0.77
"Chambers County, Alabama",540,"6,441","6,427","6,505","62,468,956",744,0.92,0.91
"Cherokee County, Alabama",368,"3,849","3,909","3,988","33,166,666",652,0.89,0.86
"Chilton County, Alabama",748,"7,640","7,661","7,649","74,704,957",751,0.95,0.95
"Choctaw County, Alabama",281,"3,670","3,668","3,787","51,923,707","1,077",1.05,1.08
"Clarke County, Alabama",598,"6,234","6,191","6,221","65,417,329",810,0.92,0.93
"Clay County, Alabama",185,"3,346","3,313","3,332","29,442,208",680,0.91,0.93
"Cleburne County, Alabama",180,"1,322","1,311","1,270","13,472,347",797,0.73,0.77
"Coffee County, Alabama",994,"13,655","13,694","13,687","111,336,867",626,0.99,0.93
"Colbert County, Alabama","1,252","19,403","19,354","19,307","209,319,526",832,0.95,0.92
"Conecuh County, Alabama",220,"2,718","2,717","2,696","24,515,419",696,0.93,0.92
"Coosa County, Alabama",93,"1,132","1,106","1,101","10,385,561",718,0.9,0.92
"Covington County, Alabama",827,"10,189","10,146","10,171","91,284,848",691,0.98,0.97
"Crenshaw County, Alabama",224,"3,066","3,095","3,095","28,946,089",722,0.98,0.98
"Cullman County, Alabama","1,792","24,500","24,548","24,675","238,272,546",746,1,1
"Dale County, Alabama",764,"11,965","12,122","12,152","167,678,162","1,068",0.83,0.82
"Dallas County, Alabama",745,"9,814","9,896","9,946","101,215,927",788,0.95,0.96
"DeKalb County, Alabama","1,117","18,452","18,718","19,035","171,685,033",705,1,0.98
"Elmore County, Alabama","1,331","15,192","15,287","15,315","137,670,747",694,0.91,0.89
"Escambia County, Alabama",773,"8,726","8,764","8,771","85,797,756",754,0.81,0.79
"Etowah County, Alabama","1,961","30,266","30,252","30,437","277,265,365",703,1,0.98
"Fayette County, Alabama",315,"2,908","2,904","2,890","24,001,735",637,0.84,0.83
"Franklin County, Alabama",544,"8,998","9,043","9,071","80,031,422",681,0.97,0.94
"Geneva County, Alabama",445,"3,542","3,540","3,578","28,212,897",611,0.84,0.83
"Greene County, Alabama",122,"1,189","1,194","1,189","9,961,403",644,0.8,0.79
"Hale County, Alabama",241,"1,802","1,809","1,788","17,416,153",744,0.79,0.82
"Henry County, Alabama",306,"2,693","2,610","2,664","28,011,431",811,0.93,0.95
"Houston County, Alabama","2,882","39,862","40,223","40,392","431,614,632",827,0.97,0.95
"Jackson County, Alabama",908,"12,449","12,543","12,624","110,402,792",677,0.94,0.92
"Jefferson County, Alabama","18,609","291,230","292,367","292,858","4,435,919,237","1,168",0.98,0.98
"Lamar County, Alabama",234,"2,851","2,870","2,824","29,498,500",797,0.97,0.99
"Lauderdale County, Alabama","2,041","24,517","24,611","24,854","207,208,665",646,0.98,0.93
"Lawrence County, Alabama",419,"3,674","3,686","3,735","31,711,166",660,0.86,0.84
"Lee County, Alabama","3,134","43,398","43,762","43,766","384,348,242",677,0.87,0.75
"Limestone County, Alabama","1,426","17,279","17,603","18,762","201,150,033",865,0.87,0.8
"Lowndes County, Alabama",145,"1,771","1,790","1,792","22,167,445",956,0.92,0.95
"Macon County, Alabama",186,"2,056","2,033","2,078","15,523,520",581,0.54,0.37
"Madison County, Alabama","9,604","159,235","160,028","159,878","2,344,953,685","1,129",0.93,0.86
"Marengo County, Alabama",470,"5,762","5,729","5,796","63,575,276",849,0.93,0.96
"Marion County, Alabama",566,"8,172","8,164","8,218","70,486,271",662,0.97,0.94
"Marshall County, Alabama","1,975","31,114","31,156","31,307","283,892,548",700,0.98,0.95
"Mobile County, Alabama","9,994","146,517","146,701","147,025","1,747,662,873",916,1.01,1
"Monroe County, Alabama",401,"4,757","4,717","4,717","57,050,839",928,0.91,0.96
"Montgomery County, Alabama","5,992","94,584","95,005","95,009","1,037,772,425",841,0.86,0.81
"Morgan County, Alabama","2,665","42,147","42,252","42,520","513,370,590",933,1.01,1.01
"Perry County, Alabama",131,"1,650","1,647","1,630","13,137,940",615,0.91,0.91
"Pickens County, Alabama",293,"2,586","2,602","2,631","23,272,748",687,0.82,0.75
"Pike County, Alabama",684,"11,038","11,153","11,062","106,138,705",737,0.92,0.87
"Randolph County, Alabama",369,"3,678","3,639","3,690","30,304,221",635,0.91,0.89
"Russell County, Alabama",855,"11,217","11,291","11,506","111,073,272",754,0.94,0.94
"St. Clair County, Alabama","1,445","16,878","16,912","16,865","165,294,589",753,1,0.99
"Shelby County, Alabama","5,787","75,562","75,900","76,134","1,165,684,974","1,182",1.06,1.08
"Sumter County, Alabama",203,"1,884","1,860","1,855","16,576,716",683,0.74,0.69
"Talladega County, Alabama","1,293","25,234","25,326","25,308","289,388,066",880,0.99,1
"Tallapoosa County, Alabama",793,"10,777","10,886","11,319","90,047,321",630,1,0.96
"Tuscaloosa County, Alabama","4,488","72,611","73,702","73,337","819,289,966",861,0.9,0.85
"Walker County, Alabama","1,307","15,272","15,452","15,676","156,796,884",780,0.98,0.98
"Washington County, Alabama",223,"2,725","2,747","2,742","55,118,673","1,549",0.88,1.03
"Wilcox County, Alabama",200,"2,034","2,042","1,991","26,272,198",999,0.86,0.94
"Winston County, Alabama",445,"6,702","6,775","6,815","64,316,248",731,1.01,1.01
"Unknown Or Undefined, Alabama","14,242","52,198","54,565","54,537","1,010,255,960","1,445",1.16,1.15
"Aleutians East Borough, Alaska",63,"1,340","2,799","2,481","32,687,632","1,139",1.06,1.08
"Aleutians West Census Area, Alaska",135,"3,196","3,971","3,794","53,192,669","1,120",1.04,1.03
"Anchorage Municipality, Alaska","8,116","117,047","117,781","118,295","1,731,643,249","1,132",0.96,0.92
"Bethel Census Area, Alaska",196,"3,785","3,794","3,679","48,977,394","1,004",0.64,0.74
"Bristol Bay Borough, Alaska",104,328,344,355,"4,171,517",937,0.74,0.71
"Denali Borough, Alaska",125,487,518,541,"9,527,277","1,422",0.73,0.79
"Dillingham Census Area, Alaska",101,"1,282","1,338","1,337","16,903,876",986,0.76,0.82
"Fairbanks North Star Borough, Alaska","2,171","25,445","25,571","25,819","309,434,132",929,0.85,0.78
"Haines Borough, Alaska",140,488,504,553,"7,441,941","1,112",0.88,0.91
"Hoonah-Angoon Census Area, Alaska",96,218,210,228,"1,454,857",512,0.44,0.34
"Juneau City and Borough, Alaska","1,050","9,470","9,683","9,848","107,888,116",858,0.7,0.59
"Kenai Peninsula Borough, Alaska","1,929","13,227","13,285","13,543","161,353,637",930,0.86,0.82
"Ketchikan Gateway Borough, Alaska",550,"4,397","4,424","4,526","49,089,422",849,0.83,0.75
"Kodiak Island Borough, Alaska",439,"3,562","4,387","4,431","46,516,159",867,0.88,0.83
"Kusilvak Census Area, Alaska",60,683,667,667,"5,836,883",668,0.39,0.43
"Lake and Peninsula Borough, Alaska",65,336,332,363,"3,346,372",749,0.54,0.61
"Matanuska-Susitna Borough, Alaska","2,143","17,665","17,670","17,788","181,226,852",787,0.9,0.86
"Nome Census Area, Alaska",185,"2,151","2,078","2,122","29,710,083","1,080",0.61,0.71
"North Slope Borough, Alaska",185,"10,328","10,955","11,020","353,447,263","2,525",0.99,1.07
"Northwest Arctic Borough, Alaska",83,"1,774","1,791","1,804","43,421,180","1,866",0.75,0.9
"Petersburg Borough, Alaska",148,699,759,798,"5,242,739",536,0.74,0.53
"Prince of Wales-Hyder Census Area, Alaska",175,945,962,"1,097","9,238,499",710,0.6,0.54
"Sitka City and Borough, Alaska",329,"2,534","2,668","2,820","27,472,129",790,0.85,0.75
"Skagway Municipality, Alaska",123,248,268,320,"2,610,385",721,0.78,0.63
"Southeast Fairbanks Census Area, Alaska",188,"1,483","1,502","1,518","27,017,961","1,385",0.78,0.79
"Valdez-Cordova Census Area, Alaska",474,"2,634","2,709","2,903","45,472,889","1,273",0.83,0.86
"Wrangell City and Borough, Alaska",76,514,525,519,"4,561,738",676,0.81,0.77
"Yakutat City and Borough, Alaska",27,143,121,121,"1,244,185",746,0.65,0.59
"Yukon-Koyukuk Census Area, Alaska",118,666,665,661,"7,824,405",906,0.35,0.45
"Unknown Or Undefined, Alaska",565,"1,146","1,201","1,205","20,762,293","1,349",0.97,0.99
"Apache County, Arizona",469,"7,169","7,152","7,316","73,436,111",783,0.48,0.43
"Cochise County, Arizona","2,040","22,719","22,945","23,180","227,679,466",763,0.8,0.68
"Coconino County, Arizona","3,261","44,719","45,090","45,868","440,482,820",749,0.88,0.79
"Gila County, Arizona",891,"9,338","9,377","9,475","104,616,708",856,0.75,0.77
"Graham County, Arizona",471,"6,465","6,523","6,555","70,681,482",835,0.82,0.8
"Greenlee County, Arizona",76,"4,514","4,489","4,509","92,692,272","1,583",1.05,1.11
"La Paz County, Arizona",306,"3,724","3,840","3,852","32,905,498",665,0.75,0.68
"Maricopa County, Arizona","103,076","1,811,173","1,823,085","1,826,999","26,620,471,627","1,125",1.05,1.05
"Mohave County, Arizona","3,689","42,504","42,800","43,039","401,781,182",722,0.99,0.96
"Navajo County, Arizona","1,515","16,688","16,795","16,831","148,201,083",680,0.75,0.68
"Pima County, Arizona","18,856","303,498","305,060","305,233","3,642,826,538",920,0.95,0.92
"Pinal County, Arizona","3,123","43,235","43,828","43,973","445,241,774",784,0.81,0.76
"Santa Cruz County, Arizona","1,117","10,347","10,308","10,213","96,741,253",723,0.86,0.71
"Yavapai County, Arizona","5,645","53,045","53,326","53,757","505,162,595",728,0.98,0.93
"Yuma County, Arizona","3,106","62,409","60,567","59,076","552,032,547",700,0.94,0.88
"Unknown Or Undefined, Arizona","14,196","30,877","31,267","31,313","783,082,747","1,934",1.15,1.14
"Arkansas County, Arkansas",767,"8,991","9,084","9,149","88,383,757",749,1.06,1.05
"Ashley County, Arkansas",521,"5,596","5,648","5,583","66,455,909",911,1,1.03
"Baxter County, Arkansas","1,186","13,146","13,089","13,065","115,617,988",679,1.04,1.03
"Benton County, Arkansas","6,637","109,925","110,561","111,127","2,236,027,433","1,556",1.08,1.11
"Boone County, Arkansas",895,"11,080","11,062","11,167","103,570,008",718,0.92,0.91
"Bradley County, Arkansas",341,"3,036","3,054","3,031","27,744,275",702,0.92,0.94
"Calhoun County, Arkansas",86,"2,749","2,754","2,766","44,666,703","1,247",1.07,1.1
"Carroll County, Arkansas",756,"8,939","9,019","9,224","68,739,054",584,1.03,1.01
"Chicot County, Arkansas",465,"2,049","2,022","2,008","15,434,253",586,0.8,0.75
"Clark County, Arkansas",620,"7,132","7,214","7,225","64,519,986",690,0.9,0.9
"Clay County, Arkansas",339,"2,215","2,176","2,227","15,876,138",554,0.84,0.81
"Cleburne County, Arkansas",615,"5,286","5,380","5,376","43,050,841",619,0.99,0.98
"Cleveland County, Arkansas",109,748,734,741,"5,461,570",567,0.79,0.78
