,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet,State,county,Poverty Rate,Unemployment Rate
0,"Los Angeles County, California",61015.0,10105722.0,36.0,30798.0,1688505.0,406426.0,3295198.0,220563.0,2306545.0,2633021.0,1680314.0,865663.0,199009.0,31351.0,538359.0,6,37,16.708405396467462,4.021741346140336
1,"Cook County, Illinois",59426.0,5238541.0,36.4,33722.0,821572.0,240605.0,1956561.0,135811.0,1319255.0,1500290.0,986543.0,465829.0,89105.0,13312.0,359116.0,17,31,15.683221721467865,4.5929773194482975
2,"Harris County, Texas",57791.0,4525519.0,33.1,30856.0,751985.0,149192.0,1562813.0,183317.0,999605.0,1225570.0,848627.0,345502.0,82925.0,12605.0,275630.0,48,201,16.616547184974802,3.296682656729537
3,"Maricopa County, Arizona",58580.0,4155501.0,36.0,30186.0,644476.0,124210.0,1489533.0,109769.0,1058044.0,1216868.0,773917.0,400895.0,94168.0,18396.0,216082.0,4,13,15.508984355917613,2.9890499364577217
4,"San Diego County, California",70588.0,3283665.0,35.4,34350.0,427031.0,116758.0,1111739.0,62443.0,876765.0,966430.0,645331.0,293588.0,70951.0,9144.0,118026.0,6,73,13.004706631157566,3.5557220362004043
5,"Orange County, California",81851.0,3155816.0,37.5,37603.0,378459.0,96039.0,1024976.0,65346.0,809341.0,899047.0,595764.0,281067.0,55099.0,6522.0,97075.0,6,59,11.99242921640552,3.0432382623068013
6,"Miami-Dade County, Florida",46338.0,2702602.0,39.5,25481.0,505182.0,100968.0,858289.0,58131.0,551091.0,627883.0,342068.0,263935.0,44337.0,8004.0,193906.0,12,86,18.692430479959683,3.7359552016908153
7,"Kings County, New York",52782.0,2635121.0,34.8,29928.0,570731.0,106976.0,944650.0,51781.0,645169.0,711897.0,411665.0,281626.0,26654.0,3888.0,200226.0,36,47,21.65862592268059,4.0596238275206336
8,"Dallas County, Texas",53626.0,2552213.0,33.3,29810.0,446611.0,78641.0,906179.0,92944.0,571741.0,692870.0,457642.0,201750.0,41337.0,6080.0,182720.0,48,113,17.498970501286532,3.081286710787853
9,"Riverside County, California",60807.0,2355002.0,35.0,25700.0,362215.0,107383.0,711724.0,49560.0,515473.0,588200.0,369086.0,195954.0,45073.0,7686.0,101093.0,6,65,15.380666343383147,4.559783813347081
