,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet,State,county,Poverty Rate,Unemployment Rate
0,"Loving County, Texas",80938.0,74.0,57.5,35530.0,12.0,0.0,31.0,7.0,7.0,20.0,13.0,7.0,6.0,0.0,11.0,48,301,16.216216216216218,0.0
1,"Kalawao County, Hawaii",61750.0,86.0,57.6,46024.0,10.0,0.0,53.0,7.0,25.0,32.0,21.0,11.0,2.0,0.0,18.0,15,5,11.627906976744184,0.0
2,"King County, Texas",56964.0,289.0,32.7,29918.0,10.0,11.0,101.0,10.0,52.0,74.0,53.0,19.0,13.0,0.0,16.0,48,269,3.460207612456748,3.8062283737024223
3,"Arthur County, Nebraska",41250.0,421.0,43.3,21799.0,46.0,1.0,177.0,10.0,105.0,123.0,59.0,55.0,15.0,5.0,44.0,31,5,10.926365795724466,0.2375296912114014
4,"McPherson County, Nebraska",60714.0,432.0,48.5,27241.0,69.0,0.0,192.0,27.0,51.0,119.0,59.0,24.0,41.0,36.0,69.0,31,117,15.972222222222221,0.0
5,"Petroleum County, Montana",46429.0,453.0,51.7,31549.0,45.0,14.0,206.0,3.0,133.0,152.0,69.0,69.0,16.0,13.0,42.0,30,69,9.933774834437086,3.0905077262693155
6,"Blaine County, Nebraska",52000.0,502.0,46.8,28503.0,49.0,3.0,232.0,14.0,156.0,182.0,93.0,80.0,24.0,2.0,43.0,31,9,9.760956175298805,0.5976095617529881
7,"Loup County, Nebraska",58625.0,537.0,52.8,29248.0,48.0,2.0,245.0,11.0,139.0,165.0,105.0,56.0,17.0,3.0,65.0,31,115,8.938547486033519,0.37243947858473
8,"Harding County, New Mexico",35096.0,546.0,58.4,30782.0,108.0,14.0,203.0,6.0,81.0,96.0,37.0,49.0,17.0,5.0,101.0,35,21,19.78021978021978,2.5641025641025643
9,"Kenedy County, Texas",24800.0,564.0,29.8,13705.0,140.0,0.0,152.0,28.0,24.0,55.0,40.0,15.0,3.0,0.0,97.0,48,261,24.82269503546099,0.0
